Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;09/2017;2.143.710;0;1.159.088;112.473;130.899;123.894;72.191;78.704;83.938;382.525;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;09/2017;2.100.619;1.265.821;2.626;0;171.326;0;0;0;0;37.116;623.731
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;09/2017;2.100.484;0;776.957;557.279;234.387;129.826;64.339;48.007;44.023;245.666;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;09/2017;2.038.349;521.761;942.653;216.893;84.359;59.299;28.524;16.386;17.524;150.950;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;09/2017;2.003.429;1.827.120;34.396;55.634;66.059;0;0;0;0;20.220;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;09/2017;1.982.917;720.558;670.186;474.141;42.343;19.239;18.033;4.043;0;34.375;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;09/2017;1.754.875;718.454;737.409;148.933;57.243;38.403;2.597;1.787;10.357;12.609;27.082
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;09/2017;1.718.015;0;971.524;367.509;139.855;107.699;27.067;42.995;9.258;52.109;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;09/2017;1.652.311;54.103;377.455;1.020.492;139.395;25.802;740;398;1.477;32.448;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;09/2017;1.652.277;770.797;467.558;120.554;77.244;17.701;151.093;11.136;8.843;27.350;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;09/2017;1.489.839;31.147;1.066.709;87.223;140.779;25.504;20.292;19.390;17.104;81.691;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;09/2017;1.445.598;0;1.277.649;54.555;31.710;24.955;12.601;8.828;10.282;25.017;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;09/2017;1.426.150;228.187;435.878;259.471;182.098;199.904;100.985;2.148;1.203;16.275;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;09/2017;1.420.179;66;764.508;402.908;102.422;62.374;18.523;13.052;10.461;45.865;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;09/2017;1.332.160;1.332.160;0;0;0;0;0;0;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;09/2017;1.239.107;22.300;91.092;752.050;221.983;69.235;25.813;40.593;3.808;12.233;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;09/2017;1.228.988;251.760;676.901;109.620;80.118;62.710;19.432;9.962;2.550;15.934;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;09/2017;1.197.395;188.617;816.521;107.575;43.118;15.061;4.214;2.408;2.502;17.379;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;S4;9;CAMPO MOURAO;PR;09/2017;1.193.521;25.953;568.898;459.908;67.409;18.081;10.993;11.924;1.788;28.567;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;09/2017;1.179.195;822.567;228.103;128.526;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;09/2017;1.171.006;415;321.792;491.775;136.544;72.393;38.153;38.508;14.602;56.825;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;09/2017;1.158.593;662.393;115.375;151.457;113.216;42.408;16.699;23.247;10.406;23.392;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;09/2017;1.134.451;56;534.682;392.276;111.315;42.049;15.602;9.773;6.494;22.203;0
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;199;SAO PAULO;SP;09/2017;1.097.241;891.950;189.152;16.139;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;S4;5;VITORIA;ES;09/2017;1.081.346;61.915;608.917;186.067;73.147;44.080;35.226;15.318;12.419;44.256;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;S4;8;SAO PAULO;SP;09/2017;1.041.109;240.517;800.592;0;0;0;0;0;0;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;09/2017;1.001.783;959.869;125;21.300;4.039;7.404;0;0;0;9.045;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;09/2017;982.648;0;361.566;387.039;109.122;87.031;11.267;8.806;9.842;7.975;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;09/2017;980.805;605.799;210.880;60.050;0;9.273;0;0;0;94.802;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;S4;8;PORTO ALEGRE;RS;09/2017;958.446;0;813.185;46.957;32.075;16.822;8.421;6.341;5.425;29.222;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;09/2017;953.998;20.808;278.519;348.524;139.252;41.124;25.764;17.608;21.902;60.496;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;09/2017;918.580;52;340.025;269.244;187.801;42.097;18.987;14.730;4.792;40.852;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;09/2017;918.197;0;433.940;153.009;136.518;182.989;808;1.995;307;8.630;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;09/2017;900.571;78;290.556;443.284;81.647;36.171;13.865;11.043;5.789;18.137;0
AGIPLAN;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;09/2017;895.858;0;585.697;50.914;38.567;34.370;29.022;22.837;22.680;111.772;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;09/2017;887.923;0;687.154;50.666;33.497;21.147;20.522;22.421;16.539;35.977;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;09/2017;864.418;11.009;165.971;280.271;245.968;29.266;10.417;49.540;4.679;67.297;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;09/2017;859.955;31.153;510.103;203.828;25.064;17.502;20.569;4.758;8.006;38.972;0
BANCO BONSUCESSO S.A.;71.027.866;b1;I;2;S4;8;BELO HORIZONTE;MG;09/2017;837.746;174.693;419.326;172.860;38.021;2.541;8.490;15.580;1.048;5.186;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;09/2017;830.470;0;327.329;325.720;107.025;22.448;6.452;12.795;5.006;23.694;0
INDUSVAL;50.531;b1;C;2;S4;199;SAO PAULO;SP;09/2017;828.679;51.750;148.401;250.052;164.360;72.479;13.783;7;81.139;46.708;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;09/2017;768.191;0;341.252;300.867;67.257;25.794;8.873;6.911;4.200;13.036;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;S4;30;SALVADOR;BA;09/2017;753.967;171.437;163.210;198.562;156.535;10.825;9.778;16.447;5.159;22.013;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;09/2017;744.424;329;236.049;287.910;125.844;46.237;19.402;9.667;2.468;16.518;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87.780.268;b3S;I;2;S4;9;ERECHIM;RS;09/2017;740.360;0;226.911;322.213;105.110;40.898;14.607;9.326;2.358;18.937;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88.038.260;b3S;I;2;S4;9;CRUZ ALTA;RS;09/2017;738.279;49;183.916;214.556;221.595;60.772;9.246;15.696;10.490;21.959;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87.733.077;b3S;I;2;S4;9;ITAQUI;RS;09/2017;730.955;0;145.727;333.346;140.497;67.334;13.270;11.495;4.765;14.521;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42.898.825;b3S;I;2;S4;9;BELO HORIZONTE;MG;09/2017;726.280;529;305.934;147.809;236.375;19.368;8.703;3.786;1.246;2.529;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53.923.116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;09/2017;719.216;300;444.852;151.035;51.852;33.723;2.856;1.140;1.831;31.628;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31.815.293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;09/2017;718.442;5.922;132.319;314.869;114.993;25.191;28.892;20.498;33.948;41.811;0
BANCO CBSS S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;09/2017;705.090;0;509.720;15.525;16.381;14.244;14.911;14.554;18.309;101.447;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;S4;30;FLORIANOPOLIS;SC;09/2017;699.320;203.693;145.305;185.279;61.371;38.877;10.146;112;434;54.104;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;S4;9;CANARANA;MT;09/2017;698.392;0;95.130;307.989;211.638;34.981;18.105;11.189;2.652;16.707;0
BANCO SEMEAR S.A.;795.423;b1;I;2;S4;8;BELO HORIZONTE;MG;09/2017;698.193;0;548.712;53.301;27.907;13.709;9.422;6.069;6.695;32.377;0
RENDIMENTO;51.468;b1;C;2;S4;199;SAO PAULO;SP;09/2017;695.238;0;521.061;75.003;77.742;5.371;785;120;9.209;5.948;0
