Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;03/2018;2.377.855;2.219.613;145.497;0;0;0;0;11.719;0;0;0;0;0;0;0;1.026;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;03/2018;2.351.971;581.859;0;0;0;0;0;1.763.149;0;0;0;0;0;0;6.963;0;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;03/2018;2.309.120;2.232.149;0;0;0;0;0;0;0;0;0;0;0;0;0;76.972;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;03/2018;2.248.303;1.726.315;412.837;923;0;0;0;83.769;0;0;1.919;0;0;0;18.247;4.292;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;03/2018;2.244.043;2.217.540;0;0;0;0;0;23.223;0;0;1.666;0;0;0;0;1.614;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;03/2018;2.088.275;2.076.350;0;0;0;0;0;0;0;0;0;0;0;0;0;11.925;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;03/2018;2.056.175;1.193.780;0;0;0;0;49.672;812.724;0;0;0;0;0;0;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;03/2018;2.053.273;462.095;0;0;0;0;0;217.640;0;1.373.538;0;0;0;0;0;0;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;03/2018;1.884.492;979.738;0;4.321;0;0;34.965;32.806;627.117;0;9.018;0;0;0;134.627;150;61.750
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;03/2018;1.874.276;1.865.111;0;0;0;0;9.165;0;0;0;0;0;0;0;0;0;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;03/2018;1.837.425;817.666;0;0;0;0;0;0;0;0;0;0;0;0;1.019.759;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;03/2018;1.792.008;1.122.779;1.025;13.290;0;0;2.998;592.895;0;0;34.345;0;0;0;24.666;11;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;03/2018;1.782.925;510.428;0;13.553;0;100.256;57;906.363;0;0;0;0;0;0;0;0;252.268
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;03/2018;1.732.384;365.501;1.366.881;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;03/2018;1.698.252;1.279.428;0;79.605;2.107;0;0;251.333;59.111;0;0;0;0;0;0;26.668;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;03/2018;1.664.194;1.151.190;0;300.701;0;0;0;168.415;0;0;0;0;0;0;43.889;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;03/2018;1.621.293;891.252;0;38.094;0;0;2.554;268.148;0;0;0;0;0;0;421.244;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;03/2018;1.617.326;1.389.930;0;0;0;0;76.573;149.500;0;0;0;0;0;733;0;590;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;03/2018;1.526.771;53.243;1.473.522;0;0;0;0;0;0;0;0;0;0;0;0;6;0
