Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;03/2017;3.800.316;1.320.799;950;0;0;500.797;1.346.522;0;0;0;0;0;0;0;1.329;629.920
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;03/2017;3.781.127;3.468.451;0;0;0;3.432;148.729;14.858;0;45.473;0;0;0;12.323;87.861;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;03/2017;3.753.901;2.269.344;425.607;19.691;0;3.012;823.743;0;0;11.808;0;0;0;171.416;29.279;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;03/2017;3.724.960;3.713.292;0;0;0;154;0;0;0;4.142;0;0;0;0;7.371;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2017;3.707.535;1.081.077;437.973;364.989;0;636.912;1.078.377;16.445;513;33.992;0;0;0;54.737;2.519;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;03/2017;3.432.837;2.503.254;0;929.582;0;0;0;0;0;0;0;0;0;0;1;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;03/2017;3.397.728;90.598;0;0;0;0;383.680;0;2.923.450;0;0;0;0;0;0;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;03/2017;3.377.880;3.365.883;0;0;0;0;0;0;0;0;0;0;0;0;11.997;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;03/2017;3.072.647;2.038.715;49.137;526.064;0;0;0;378.617;0;5.529;1.455;0;40.952;32.175;3;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;03/2017;2.968.399;2.966.837;0;0;0;1.554;0;0;0;0;0;0;0;0;8;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;03/2017;2.785.295;438.613;0;0;0;0;2.331.905;0;0;0;0;0;0;14.775;2;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2017;2.777.465;1.547.091;0;0;0;0;0;0;0;0;0;0;0;0;1.230.374;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;03/2017;2.674.807;1.833.945;680;6;0;0;839.735;0;0;0;0;0;0;0;440;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;03/2017;2.378.287;1.835.706;0;191.624;0;0;155.584;0;0;0;0;0;0;195.372;1;0
INTERMEDIUM;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;03/2017;2.367.174;1.041.666;158.506;2.622;0;1.136.249;0;0;0;0;0;0;0;0;28.131;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;03/2017;2.353.866;395.269;0;35.472;79.510;0;929.346;0;0;0;0;0;0;0;1;914.268
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;03/2017;2.346.769;584.339;0;0;0;0;0;0;0;0;0;0;0;1.762.430;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;03/2017;2.334.215;433.627;0;0;0;0;1.799.254;0;0;3.858;0;0;108;97.304;64;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;03/2017;2.237.422;1.583.833;424.885;1.421;0;0;122.653;0;0;4.937;0;0;0;18.577;81.115;0
DEUTSCHE;51.183;b1;I;3;S3;199;SAO PAULO;SP;03/2017;2.235.433;1.824.761;0;0;0;0;410.672;0;0;0;0;0;0;0;0;0
OMNI;50.940;n1;C;2;S4;197;SAO PAULO;SP;03/2017;2.200.128;1.998.099;0;0;0;0;0;0;0;0;0;0;0;0;202.029;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;03/2017;2.110.801;1.979.756;121.140;0;0;0;0;0;0;0;0;0;0;0;9.905;0
