Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;09/2015;3.552.354;1.260.336;0;197.224;165.986;75.631;0;1.853.176
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;09/2015;3.399.562;1.289.460;339.421;466.465;378.630;925.429;158;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;09/2015;3.390.689;10.032;5.267;15.737;3.348.166;1.467;10.021;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;09/2015;3.344.561;1.179.316;538.411;966.597;378.771;264.187;17.280;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;09/2015;3.179.109;2.796.426;33.506;86.058;8.960;233.703;20.455;0
ING;51.073;b1;C;3;;199;SAO PAULO;SP;09/2015;2.989.041;2.633.303;0;291.129;0;64.609;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;09/2015;2.518.609;481.554;143.822;426.779;121.676;115.219;1.229.559;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;09/2015;2.418.412;711.093;941.929;681.995;4.119;79.276;0;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;09/2015;2.180.028;1.067.361;143.196;442.999;161.862;256.471;108.139;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;;8;SAO PAULO;SP;09/2015;2.121.166;1.677.243;297.970;83.247;16.363;46.344;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;09/2015;1.992.141;1.960.126;27.137;703;239;3.097;839;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;09/2015;1.969.053;3.746;1.239;1.890.588;199;331;72.951;0
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;09/2015;1.923.819;1.273.981;215.111;183.354;17.837;182.167;51.370;0
SOFISA;31.873;b1;C;2;;199;SAO PAULO;SP;09/2015;1.888.663;1.394.787;105.203;100.111;67.291;221.169;101;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;09/2015;1.886.464;9.964;1.962;6.447;2.041;1.855.472;10.577;0
INDUSVAL;50.531;b1;C;2;;199;SAO PAULO;SP;09/2015;1.861.231;993.144;407.043;61.274;15.196;267.536;5;117.032
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;09/2015;1.815.021;746.985;209.037;274.098;66.020;518.011;871;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;09/2015;1.809.675;638.400;206.960;158.944;84.486;720.885;0;0
CREDIT AGRICOLE;51.066;b1;C;3;;199;SAO PAULO;SP;09/2015;1.744.661;1.430.921;151.338;104.436;0;57.965;0;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;;199;SAO PAULO;SP;09/2015;1.721.539;1.204.164;159.388;59.192;191.213;101.016;6.565;0
JP MORGAN CHASE;20.107;b1;C;3;;199;SAO PAULO;SP;09/2015;1.679.524;1.371.846;31.957;103.062;8.843;163.816;0;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;;9;SERTAOZINHO;SP;09/2015;1.678.546;1.660.800;16.061;12;1.002;168;504;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;;8;SAO PAULO;SP;09/2015;1.642.705;573.581;327.217;285.539;283.124;172.826;419;0
BBM;30.207;b1;C;2;;199;SALVADOR;BA;09/2015;1.476.503;867.346;254.910;150.300;199;178.521;1;25.226
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;;8;UBERLANDIA;MG;09/2015;1.465.562;528.134;120.748;320.836;134.063;121.687;240.094;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;;9;BRASILIA;DF;09/2015;1.264.755;455.854;246.049;336.223;72.161;153.622;846;0
