Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;09/2018;20.853;0;0;430.736;0;451.589;493.048;2.297.719;338.024;0;0;0;2.635.743;17.978.227;21.558.607;465.460;3.481.781;25.505.848;252;2.703.244;28.209.344
PAN;31323;b1;S3;C;2;SAO PAULO;SP;09/2018;21.742;0;8.312.091;8.678.586;0;17.012.420;266.549;712.309;36.439;631.482;0;0;1.380.230;0;18.659.199;159.130;5.163.712;23.982.041;27;4.047.182;28.029.250
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;09/2018;523.839;0;476.435;4.094.490;7.744;5.102.507;2.426.940;724.445;692.549;7.082.566;1.976.560;0;10.476.120;2.376.127;20.381.695;30.146;3.789.735;24.201.575;100.409;3.344.071;27.646.056
CCB;32119;b1;S3;C;3;SAO PAULO;SP;09/2018;81.780;3.337;248.873;2.634.376;0;2.968.366;6.989.785;31.329;643.894;528.818;55.066;0;1.259.107;7.279.137;18.496.396;45.629;4.428.888;22.970.913;27.964;1.788.077;24.786.953
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;09/2018;752.418;0;201.629;7.052.132;0;8.006.179;921.959;0;0;0;0;0;0;0;8.928.138;5.000.940;7.151.151;21.080.230;1.555;2.528.719;23.610.503
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;09/2018;5.128;0;60.073;230.837;0;296.037;531.311;0;0;0;0;0;0;6.717.168;7.544.515;843.365;13.582.550;21.970.431;12.832;1.414.289;23.397.552
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;;I;2;SAO PAULO;SP;09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;104.907;104.907;0;21.172.577;21.277.485;0;2.081.780;23.359.265
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;09/2018;56.656;0;6.630;2.642.648;0;2.705.934;105.486;0;50.312;0;0;0;50.312;5.175.081;8.036.812;1.009.810;12.130.540;21.177.162;1.902;1.500.491;22.679.555
ING;51073;b1;S3;C;3;SAO PAULO;SP;09/2018;309;0;71.871;2.049.806;0;2.121.985;0;0;0;0;0;0;0;6.155.571;8.277.556;360.374;12.644.616;21.282.547;2.196;899.674;22.184.416
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;09/2018;836.760;573.826;11.229;1.410.792;1.297.803;4.130.411;104.989;0;272.643;0;0;0;272.643;828.092;5.336.135;0;11.810.596;17.146.731;0;1.906.041;19.052.772
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;09/2018;0;0;0;1.723.787;0;1.723.787;4.296.290;0;0;0;0;2.792.249;2.792.249;608.502;9.420.827;2.838.380;2.415.666;14.674.873;0;3.117.482;17.792.355
BMG;30290;b1;S3;C;2;SAO PAULO;SP;09/2018;31.784;0;847;9.337.877;0;9.370.509;0;35.311;94.720;427.922;45.309;0;603.262;511.927;10.485.698;149.364;3.566.619;14.201.682;0;2.757.112;16.958.793
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;13.257.009;13.257.009;0;954.897;14.211.906;7.099;2.645.558;16.864.563
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;09/2018;0;0;239.224;5.185.991;0;5.425.215;0;0;0;1.443.905;0;0;1.443.905;3.143.171;10.012.291;0;3.295.528;13.307.818;122.156;3.065.004;16.494.978
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;09/2018;0;0;3.414;479.639;0;483.053;954.401;0;0;0;0;0;0;3.737.198;5.174.652;7.134.527;1.529.031;13.838.210;0;1.754.972;15.593.182
BRB;31976;b1;S3;C;1;BRASILIA;DF;09/2018;693.353;1.823.658;190.171;7.591.525;3.348;10.302.055;715.876;192.296;0;0;0;0;192.296;190.378;11.400.604;0;2.110.941;13.511.545;69;1.439.394;14.951.009
