Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2018;5.193.284;1.747.776;116.001;1.393.083;0;0;70;16.601;759.267;7.271;206.134;212.620;0;10.821;723.639;0;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;12/2018;4.237.605;4.232.425;0;0;390;0;331;0;0;0;4.223;0;0;0;0;235;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2018;4.152.411;4.011.040;0;0;0;0;0;0;0;0;0;0;0;0;0;141.371;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2018;4.109.360;2.452.036;525.967;39.953;2.688;0;2.470;958.098;0;0;13.884;0;0;0;112.816;1.450;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;12/2018;3.698.667;3.698.623;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2018;3.584.272;450.903;0;0;0;0;7.419;2.138.608;0;0;69;3.069;0;0;334.549;0;649.656
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;12/2018;3.548.120;62.763;0;0;0;0;0;473.736;0;3.011.611;0;0;0;0;10;0;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2018;3.460.096;464.367;0;0;0;63.313;0;1.399.762;0;0;0;1.208.668;0;0;0;0;323.985
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2018;3.431.536;1.520.050;0;0;0;0;258.563;993.001;0;0;0;0;0;0;0;26;659.896
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;12/2018;3.388.290;3.322.380;0;0;0;0;2.263;34.256;0;0;28.710;0;0;0;0;682;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;12/2018;3.344.969;1.404.108;121.096;0;0;0;1.813.623;2.912;0;0;0;0;0;0;0;3.230;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;12/2018;3.337.503;1.617.676;0;891.386;705.821;0;0;0;122.620;0;0;0;0;0;0;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2018;3.207.242;754.392;0;0;0;0;0;2.258.366;0;0;0;18.981;0;0;175.487;17;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2018;3.060.313;1.310.286;13.578;24.768;0;0;15.761;1.285.840;36.535;0;0;24.391;0;0;210.514;13;138.627
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;12/2018;2.978.839;1.329.413;256.375;99.827;0;0;624.539;580.348;14.306;421;24.918;0;0;0;48.657;36;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;12/2018;2.864.167;2.019.288;9.221;0;0;0;0;835.629;0;0;0;0;0;0;0;29;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;12/2018;2.718.739;2.632.069;0;0;0;0;0;0;0;0;0;0;0;0;0;86.671;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;12/2018;2.640.359;2.357.199;138.020;1.639;0;0;0;142.583;0;0;0;0;0;0;0;918;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2018;2.566.237;2.566.237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;12/2018;2.478.363;2.464.832;0;0;0;0;0;0;0;0;0;0;0;0;0;13.531;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;12/2018;2.350.156;1.875.883;383.222;615;0;0;0;65.669;0;0;1.489;0;0;0;21.020;2.258;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;12/2018;2.314.952;1.252.674;0;2.108;0;0;29.227;68.463;723.558;0;5.953;0;0;0;143.495;134;89.341
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;12/2018;2.256.058;1.422.717;32.888;406.127;35.340;0;0;0;304.993;0;20.318;1.127;0;12.034;20.513;0;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;12/2018;2.248.068;1.292.158;0;0;0;0;45.017;910.893;0;0;0;0;0;0;0;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;12/2018;2.230.155;1.272.298;1.071;2.065;0;0;2.641;897.444;0;0;31.743;0;0;0;22.881;13;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;12/2018;2.208.691;2.186.440;0;0;0;0;0;20.912;0;0;0;0;0;0;0;1.339;0
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;12/2018;2.177.180;916.632;0;13.755;6.602;0;1.613;564.451;0;0;0;0;0;0;674.128;0;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;12/2018;2.025.968;789.081;0;0;0;0;0;0;0;0;0;0;0;0;1.236.887;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;12/2018;2.023.047;1.588.125;236.104;0;0;0;0;197.472;0;0;0;0;0;758;0;588;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;12/2018;1.911.150;661.980;0;0;0;0;1.170.732;78.438;0;0;0;0;0;0;0;0;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;12/2018;1.879.612;973.426;0;0;0;0;0;906.186;0;0;0;0;0;0;0;0;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;12/2018;1.844.456;1.478.363;0;62.713;8.657;0;0;254.974;15.148;0;0;0;0;0;0;24.601;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;12/2018;1.753.199;602.184;0;0;0;0;0;1.147.665;0;0;0;0;0;0;3.349;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;12/2018;1.728.780;1.259.902;0;240;0;0;150.495;317.965;0;0;0;0;0;0;0;178;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;12/2018;1.671.543;1.205.372;65.289;0;0;0;0;400.566;0;0;0;0;0;0;0;316;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;12/2018;1.643.947;329.474;1.314.470;0;0;0;0;0;0;0;0;0;0;0;0;3;0
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;12/2018;1.640.129;1.633.790;0;0;0;0;0;0;0;0;0;0;0;0;0;6.339;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;12/2018;1.616.333;1.185.048;0;219.393;0;0;7.190;164.189;0;0;0;0;0;0;40.512;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;12/2018;1.603.117;52.516;1.550.596;0;0;0;0;0;0;0;0;0;0;0;0;6;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;12/2018;1.584.177;1.584.177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;12/2018;1.535.028;26.615;0;0;0;0;0;326.966;0;0;0;0;0;0;1.181.447;0;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;12/2018;1.506.622;1.485.282;0;0;0;0;0;0;0;0;0;0;0;0;0;21.340;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;12/2018;1.400.337;1.236.653;61.180;0;0;0;0;102.241;0;0;0;0;0;0;0;264;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;12/2018;1.370.023;763.454;0;0;0;0;0;575.069;0;0;31.455;0;0;0;0;46;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;12/2018;1.318.902;825.611;0;0;0;0;0;278.793;0;214.498;0;0;0;0;0;0;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;12/2018;1.309.924;5.434;0;0;0;0;0;0;0;1.304.490;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;12/2018;1.306.750;1.027.785;656;380;0;0;0;277.602;249;0;0;0;0;0;0;78;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;12/2018;1.281.878;872.539;43.406;193;0;0;0;365.516;0;0;0;0;0;0;0;225;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;12/2018;1.278.403;52.504;0;406.511;127.808;0;0;0;57.116;0;0;280.471;0;353.994;0;0;0
