Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;03/2015;13.765.315;13.342.077;394.598;4.809;7.505;3.957;8.742;316;1.350;1.960;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2015;13.743.280;5.005.663;4.741.318;1.564.610;999.798;110.355;202.078;110.462;404.786;604.211;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;03/2015;13.253.473;1.729.755;3.262.588;7.252.024;555.227;132.844;130.561;13.911;37.509;139.054;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2015;12.804.609;386.095;2.676.109;3.832.848;1.181.421;154.839;129.318;13.345;1.024;28.378;4.401.233
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;03/2015;11.566.643;5.262.291;5.224.521;445.680;169.708;97.370;56.072;41.467;121.271;148.264;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;03/2015;11.554.411;4.530;10.088.629;521.127;700.834;56.555;38.000;22.854;19.858;102.023;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;03/2015;11.397.208;2.469;5.080.486;4.137.147;1.485.849;266.365;61.279;84.567;37.137;228.379;13.529
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;03/2015;10.755.031;203.186;3.658.342;5.187.431;1.168.725;102.702;222.957;84.635;61.831;65.221;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;03/2015;9.430.148;2.080.947;6.266.427;445.362;178.413;80.924;81.966;51.021;40.978;204.109;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;03/2015;9.350.369;5.776.096;3.060.882;356.028;119.575;9.901;5.336;7.843;990;13.718;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;03/2015;9.256.382;5.826.634;998.532;1.200.972;411.474;272.919;158.927;63.894;71.701;251.328;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;03/2015;9.032.218;2.593.904;2.197.217;600.465;914.173;571.935;347.899;328.032;197.828;579.527;701.237
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;03/2015;8.779.662;732.777;5.171.102;1.168.835;408.169;348.393;211.485;137.951;168.172;432.778;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;03/2015;7.835.063;0;5.175.421;1.303.568;432.014;109.827;70.719;58.933;53.850;630.732;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;03/2015;7.654.246;1.112.149;4.547.723;1.731.530;186.272;29.223;6.401;4.501;4.477;31.970;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;03/2015;6.824.157;913.125;810.551;810.934;291.745;94.051;0;0;0;12.799;3.890.953
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;03/2015;6.704.466;551.768;2.684.625;1.557.875;1.353.621;360.369;50.297;50.228;12.328;83.355;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;03/2015;6.248.433;455.443;1.578.807;1.827.114;792.846;135.734;46.963;27.174;92.972;15.601;1.275.778
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;03/2015;5.912.400;123.027;3.284.766;1.765.384;515.061;83.282;65.049;13.698;14.625;47.507;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;03/2015;5.275.499;1.832.065;1.264.272;905.583;969.213;196.645;20.625;21.578;9.035;56.483;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;03/2015;4.912.566;0;3.638.999;424.132;459.492;136.510;26.127;26.173;45.671;155.462;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;03/2015;4.377.011;80.784;686.789;2.189.326;262.293;190.419;99.819;60.404;32.713;200.545;573.918
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;03/2015;4.301.120;2.137.399;1.003.139;475.713;222.928;122.442;60.234;94.434;35.844;148.986;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;03/2015;4.274.035;1.443.451;1.376.039;1.018.278;251.242;55.428;16.288;15.052;9.920;88.338;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;03/2015;4.236.016;22.302;3.677.704;94.223;76.582;51.175;55.109;42.135;55.411;161.376;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;03/2015;4.230.567;0;3.283.531;132.528;114.338;120.391;94.478;81.984;67.978;335.339;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;03/2015;4.047.095;617.606;1.130.529;1.561.434;510.466;62.265;54.112;17.501;12.572;80.610;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;03/2015;3.991.561;2.109.734;622.620;523.933;213.435;384.341;102.645;1.071;12.940;20.841;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;;8;SAO PAULO;SP;03/2015;3.791.014;372.165;2.600.028;381.774;315.929;67.998;17.512;6.955;5.866;22.787;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;03/2015;3.764.057;0;2.875.379;688.322;93.196;22.581;19.979;11.652;9.679;43.269;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;03/2015;3.708.593;692.283;1.559.442;860.295;227.585;179.181;8.209;5.124;32.361;144.113;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;03/2015;3.671.498;591.534;1.472.573;749.140;518.472;117.574;48.970;38.824;29.857;104.554;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;03/2015;3.665.273;1.572.443;1.505.951;134.482;81.381;35.203;35.357;15.937;14.759;269.760;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;03/2015;3.554.106;1.209.751;1.577.632;597.976;27.095;63.932;16.825;14.492;7.180;39.222;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;03/2015;3.496.375;1.875.900;212.924;164.611;0;0;0;0;0;0;1.242.940
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;03/2015;3.231.226;2.345;1.543.775;457.654;804.374;220.986;52.559;28.487;20.826;100.221;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;03/2015;2.835.851;948.866;172.659;254;0;0;0;0;0;0;1.714.071
INDUSVAL;50.531;b1;C;2;;199;SAO PAULO;SP;03/2015;2.775.758;127.965;1.254.586;906.798;119.475;83.662;40.239;5.072;6.551;29.778;201.632
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;03/2015;2.674.476;38.480;1.099.681;1.086.492;287.810;53.933;19.191;61.980;10.305;16.603;0
ING;51.073;b1;C;3;;199;SAO PAULO;SP;03/2015;2.381.447;2.287.503;93.944;0;0;0;0;0;0;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;03/2015;2.181.951;0;1.470.612;123.595;124.707;84.538;55.912;43.692;38.005;240.891;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;03/2015;2.042.859;263.085;659.338;892.124;83.178;49.054;54.900;8.244;9.729;23.208;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;03/2015;2.006.447;54.284;1.695.802;83.349;54.720;9.482;26.594;8.086;14.615;59.515;0
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;03/2015;1.896.462;0;1.396.289;421.669;45.531;7.824;5.111;3.171;2.619;14.248;0
SOFISA;31.873;b1;C;2;;199;SAO PAULO;SP;03/2015;1.894.131;0;461.851;634.462;706.795;30.592;15.911;13.591;6.515;24.415;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;;8;SAO PAULO;SP;03/2015;1.854.498;1.467.301;21;308.524;25.892;30.404;0;0;22.356;0;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;03/2015;1.840.737;772.012;961.173;72.093;15.460;9.925;0;8.292;0;1.782;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;03/2015;1.830.764;631.543;576.496;358.226;150.731;28.788;5.419;6.775;10.768;62.018;0
JP MORGAN CHASE;20.107;b1;C;3;;199;SAO PAULO;SP;03/2015;1.806.157;1.373.293;212.782;186.242;0;32.244;0;1.597;0;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;03/2015;1.743.434;0;1.347.088;237.301;76.117;31.277;10.038;6.288;5.079;30.246;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;03/2015;1.711.765;0;1.031.814;62.266;175.456;82.330;63.831;50.872;32.008;213.189;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;;8;SAO PAULO;SP;03/2015;1.658.284;748.483;662.417;87.980;96.948;19.164;14.743;6.522;4.879;17.148;0
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;03/2015;1.637.315;159.170;1.301.052;61.191;38.313;23.069;11.912;14.405;5.306;22.897;0
BANCO FORD S.A.;90.731.688;b2;I;3;;8;SAO PAULO;SP;03/2015;1.566.029;0;943.099;367.242;104.566;141.969;1.168;861;6.969;157;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;;199;SAO PAULO;SP;03/2015;1.498.270;667.585;616.333;136.505;43.192;9.907;2.112;1.836;5.433;15.366;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;;8;UBERLANDIA;MG;03/2015;1.435.985;116.559;619.007;287.269;290.087;24.608;16.789;9.833;14.232;57.600;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;;9;SERTAOZINHO;SP;03/2015;1.419.621;0;993.439;227.874;70.668;25.376;11.594;20.658;29.473;40.539;0
BES;51.482;b2;C;3;;198;SAO PAULO;SP;03/2015;1.417.553;873.533;141.354;36.080;22.432;0;21.308;12.568;906;454;308.917
CREDIT AGRICOLE;51.066;b1;C;3;;199;SAO PAULO;SP;03/2015;1.390.837;1.332.651;58.185;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;03/2015;1.251.297;0;85.263;449.426;552.611;66.976;15.184;24.882;3.994;52.961;0
BBM;30.207;b1;C;2;;199;SALVADOR;BA;03/2015;1.250.745;137.981;615.391;313.788;106.971;0;8.364;6.858;9.373;30.102;21.917
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;;9;BRASILIA;DF;03/2015;1.180.961;0;1.114.306;18.331;12.524;11.175;3.158;7.150;3.157;11.161;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;;19;BARUERI;SP;03/2015;1.160.162;511.696;320.453;125.195;105.237;40.520;2.683;6.551;10.075;37.751;0
BMW;51.420;n1;C;3;;197;SAO PAULO;SP;03/2015;1.153.228;266.487;348.487;199.539;204.629;126.727;4.093;608;838;1.821;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;;5;VITORIA;ES;03/2015;1.073.610;56.700;646.478;221.324;84.719;12.190;6.041;20.376;5.768;20.013;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;;25;BRASILIA;DF;03/2015;1.058.111;442.006;388.482;42.807;18.755;10.076;140.951;3.650;3.591;7.794;0
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;03/2015;1.038.140;0;152.983;399.282;229.653;95.862;38.425;26.898;20.247;74.791;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;;30;SAO PAULO;SP;03/2015;1.020.162;547.566;142.360;161.027;130.925;16.127;6.538;5.716;1.657;8.246;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;;9;MARINGA;PR;03/2015;973.730;0;323.012;503.791;66.922;33.762;6.703;6.962;3.680;28.899;0
MIZUHO;51.554;b1;I;3;;199;SAO PAULO;SP;03/2015;940.132;855.983;0;0;0;0;22.370;54.670;0;0;7.110
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;;8;SAO PAULO;SP;03/2015;909.938;371.998;537.940;0;0;0;0;0;0;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;;30;CURITIBA;PR;03/2015;865.660;160.617;551.435;100.783;42.901;3.020;2.994;936;609;2.365;0
BANCO MONEO S.A.;7.441.209;b2;I;2;;8;CAXIAS DO SUL;RS;03/2015;860.760;3.241;254.305;406.072;88.090;55.542;46.543;3.381;236;3.349;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;;9;MEDIANEIRA;PR;03/2015;818.614;0;290.522;406.714;49.643;33.082;10.271;7.877;3.287;17.219;0
CAIXA GERAL;51.815;b1;C;3;;199;SAO PAULO;SP;03/2015;781.206;22.830;118.107;523.330;65.217;51.720;0;0;0;1;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;;8;PORTO ALEGRE;RS;03/2015;750.087;0;617.582;66.754;25.392;10.827;5.457;4.602;3.174;16.299;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;;9;CAMPO MOURAO;PR;03/2015;721.940;18.723;415.980;232.495;33.586;12.185;4.526;829;1.243;2.371;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;;9;CERRO LARGO;RS;03/2015;706.243;0;134.018;199.934;272.638;42.372;15.274;7.603;3.962;30.444;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;;30;FLORIANOPOLIS;SC;03/2015;694.948;240.441;112.328;185.677;95.300;12.573;2.019;4.394;354;41.863;0
BANCO BONSUCESSO S.A.;71.027.866;b1;I;2;;8;BELO HORIZONTE;MG;03/2015;655.088;215;375.728;110.501;49.001;37.214;13.370;15.801;2.374;50.883;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88.038.260;b3S;I;2;;9;CRUZ ALTA;RS;03/2015;628.807;0;43.152;191.661;311.184;56.842;4.154;5.400;1.260;15.153;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91.586.982;b3S;I;2;;9;NOVA PETROPOLIS;RS;03/2015;626.174;0;167.939;138.846;225.192;50.129;8.833;6.881;2.465;25.888;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;;9;GOIANIA;GO;03/2015;619.862;7.383;220.097;270.025;88.836;9.225;9.162;2.043;2.788;10.301;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;;9;LINHARES;ES;03/2015;609.115;2.122;155.114;290.106;102.828;13.373;6.878;2.218;9.949;26.526;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26.555.235;b3S;I;2;;9;SORRISO;MT;03/2015;606.908;0;41.993;127.892;368.692;34.308;2.429;10.729;3.593;17.271;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;;9;CHAPECO;SC;03/2015;604.166;15.458;314.220;185.051;43.675;17.955;4.146;3.192;2.905;17.565;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53.923.116;b3S;I;2;;9;RIBEIRAO PRETO;SP;03/2015;573.318;3.059;467.204;23.050;27.039;18.860;10.900;2.452;435;20.319;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;;9;PALOTINA;PR;03/2015;572.098;0;121.873;343.972;52.190;23.387;4.815;6.619;2.994;16.248;0
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35.571.249;b3S;I;2;;9;JOAO PESSOA;PB;03/2015;570.198;39.810;461.225;18.850;31.197;3.366;5.483;2.018;5;8.243;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;;30;SALVADOR;BA;03/2015;566.977;100.724;184.538;163.053;81.875;10.033;9.021;714;192;16.828;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;;9;DOURADOS;MS;03/2015;565.146;0;108.117;173.621;234.567;20.694;7.599;4.391;1.319;14.839;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b2;I;3;;8;GUARULHOS;SP;03/2015;557.639;0;10.500;255.313;236.600;16.382;7.729;5.368;4.575;21.174;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;;9;SANTA MARIA;RS;03/2015;549.063;0;90.053;197.838;207.052;24.432;8.032;4.722;2.183;14.751;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;;9;CANARANA;MT;03/2015;519.732;0;26.603;181.152;270.735;22.008;5.757;1.648;1.655;10.174;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31.815.293;b3S;I;2;;9;SAO GABRIEL DA PALHA;ES;03/2015;514.375;9.282;222.228;216.219;39.972;5.473;2.145;2.157;2.620;14.280;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2.398.976;b3S;I;2;;9;LONDRINA;PR;03/2015;503.126;0;272.108;186.486;29.589;5.599;5.362;1.922;400;1.661;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;03/2015;502.201;37.849;249.586;156.844;22.725;14.878;3.490;1.511;6.445;8.873;0
BANCO MODAL S.A.;30.723.886;b1;I;2;;8;RIO DE JANEIRO;RJ;03/2015;500.901;8.866;187.466;120.031;175.065;9.236;0;0;237;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87.780.268;b3S;I;2;;9;ERECHIM;RS;03/2015;500.426;0;104.819;227.667;134.771;17.033;2.721;3.008;1.819;8.588;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;;8;SAO PAULO;SP;03/2015;497.227;53.652;443.575;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81.607.046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;03/2015;490.054;28.134;341.721;92.838;14.783;2.010;1.095;2.072;394;7.006;0
BOFA MERRILL LYNCH;51.255;b1;C;3;;199;SAO PAULO;SP;03/2015;489.324;231.356;257.965;1;1;0;0;1;0;1;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;;8;SAO PAULO;SP;03/2015;487.073;78;145.118;290.176;41.024;2.106;5.170;659;739;2.003;0
BANCO RANDON S.A.;11.476.673;b1;I;2;;8;CAXIAS DO SUL;RS;03/2015;451.110;24.172;333.763;65.485;15.385;7.825;1.726;724;238;1.792;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87.733.077;b3S;I;2;;9;ITAQUI;RS;03/2015;448.240;0;46.842;64.972;221.390;90.346;6.428;5.403;1.325;11.535;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;;9;CARLOS BARBOSA;RS;03/2015;441.866;0;99.528;102.741;185.123;29.005;10.475;5.983;1.632;7.378;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43.818.780;b2;I;3;;8;BARUERI;SP;03/2015;430.349;106.251;92.395;176.835;32.468;6.856;2.140;10.448;385;2.570;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74.114.042;b3S;I;2;;9;ITAJAI;SC;03/2015;429.320;0;237.760;139.331;25.124;14.804;3.863;1.767;1.844;4.827;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32.467.086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;03/2015;429.164;23.851;240.329;128.911;9.386;11.552;1.460;916;1.288;11.471;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74.064.502;b3S;I;2;;9;FLORIANOPOLIS;SC;03/2015;428.031;0;239.171;113.988;41.539;5.836;8.641;1.924;9.967;6.965;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO-SERRANA DO ESPÍRITO SANTO - SICOOB CENTRO-SERRANO;31.804.966;b3S;I;2;;9;SANTA MARIA DE JETIBA;ES;03/2015;412.092;8.311;144.192;196.790;37.394;5.458;3.928;1.468;1.169;13.382;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO;70.431.630;b3S;I;2;;9;JUINA;MT;03/2015;405.229;0;55.606;227.283;88.977;16.930;3.517;2.523;1.760;8.632;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NORTE MATO-GROSSENSE - SICREDI NORTE MT;37.442.605;b3S;I;2;;9;COLIDER;MT;03/2015;397.797;0;60.808;121.420;158.922;38.447;6.375;3.068;1.573;7.184;0
