Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
COOPERATIVA DE CRÉDITO E DE INVESTIMENTO DE LIVRE ADMISSÃO FRONTEIRAS DO IGUAÇU E SUDESTE PAULISTA - SICREDI FRONTEIRAS PR/SC/SP;82.527.557;b3S;I;2;;9;CAPANEMA;PR;03/2016;18.532;56.115
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;;9;DOURADOS;MS;03/2016;18.103;59.432
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;;30;SALVADOR;BA;03/2016;17.691;25.794
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;03/2016;17.535;26.316
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;;9;CHAPECO;SC;03/2016;16.834;87.213
JBCRED S/A SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR;4.230.630;n1;I;2;;10;SAO PAULO;SP;03/2016;16.702;243.900
BANCO RODOBENS S.A.;33.603.457;b1;I;2;;8;SAO PAULO;SP;03/2016;16.372;27.159
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CENTRO SERRA - SICREDI CENTRO SERRA RS;87.067.757;b3S;I;2;;9;AGUDO;RS;03/2016;14.980;46.703
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87.733.770;b3S;I;2;;9;RODEIO BONITO;RS;03/2016;14.902;42.800
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;;9;PONTA GROSSA;PR;03/2016;14.896;50.120
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87.733.077;b3S;I;2;;9;ITAQUI;RS;03/2016;14.807;52.344
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP;79.457.883;b3S;I;2;;9;MANDAGUARI;PR;03/2016;14.719;55.285
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA ZONA SUL - SICREDI ZONA SUL RS;90.497.256;b3S;I;2;;9;PELOTAS;RS;03/2016;14.703;50.027
ESTRELA MINEIRA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;5.351.887;n1;I;2;;14;ARAXA;MG;03/2016;14.628;34.433
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE DE MATO GROSSO - SICREDI SUDOESTE MT;32.995.755;b3S;I;2;;9;TANGARA DA SERRA;MT;03/2016;14.478;47.734
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO;70.431.630;b3S;I;2;;9;JUINA;MT;03/2016;14.415;48.339
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO BRANCO - SICREDI OURO BRANCO RS;87.853.206;b3S;I;2;;9;TEUTONIA;RS;03/2016;14.352;47.465
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOROESTE DO RIO GRANDE DO SUL - SICREDI NOROESTE RS;89.049.738;b3S;I;2;;9;TRES DE MAIO;RS;03/2016;14.224;45.307
