Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
CCB;32119;b1;S3;C;3;SAO PAULO;SP;09/2019;351.719;359.947;7.470.761;7.902.113;-342.088;7.560.025;0;85.384;17.147;-8.180;94.351;3.372.468;271.473;58.504;19.539.247;17.147;19.522.100
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;09/2019;118.564;11.027.199;5.030.270;522.335;-150;522.185;0;0;0;0;0;2.386.570;245.431;63.011;19.393.230;0;19.393.230
STONE PAGAMENTOS S.A.;16501555;n4;;I;2;SAO PAULO;SP;09/2019;11.797;0;2.408.957;0;0;0;0;0;0;0;0;317.488;12.566.925;2.786.340;18.091.506;0;18.091.506
BMG;30290;b1;S3;C;2;SAO PAULO;SP;09/2019;77.674;879.922;2.337.645;10.419.091;-535.008;9.884.083;0;0;0;0;0;3.985.430;267.576;612.989;18.045.320;0;18.045.320
NU PAGAMENTOS S.A.;18236120;n4;;I;2;SAO PAULO;SP;09/2019;262.129;4.193.996;3.216.343;0;0;0;0;0;0;0;0;9.875.817;45.944;141.734;17.735.963;0;17.735.963
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;09/2019;630;0;2.982.994;13.311.935;-310.564;13.001.371;0;0;0;0;0;551.197;44.527;53.917;16.634.637;0;16.634.637
BRB;31976;b1;S3;C;1;BRASILIA;DF;09/2019;138.256;629.694;3.268.081;9.589.908;-383.224;9.206.684;0;0;0;0;0;1.421.013;808.937;571.603;16.044.267;0;16.044.267
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;09/2019;6.602;980.217;4.982.318;6.841.038;-82.520;6.758.518;3.716;402.563;131.665;-7.254;530.690;1.467.491;311.433;360.671;15.397.939;131.665;15.266.274
PAGSEGURO INTERNET S.A.;8561701;n4;;I;2;SAO PAULO;SP;09/2019;24.405;13.000;1.986.022;0;0;0;0;0;0;0;0;573.883;9.663.228;2.481.612;14.742.149;0;14.742.149
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;09/2019;135.028;4.228.857;778.376;247.478;-1.092;246.386;1.023;460.436;28.711;-16.107;474.062;7.907.748;2.843;5.650;13.778.950;28.711;13.750.239
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;09/2019;3.607;2.510.003;8.982.209;179.250;0;179.250;0;0;0;0;0;1.887.481;1.920;17.573;13.582.042;0;13.582.042
BANCO GMAC S.A.;59274605;b2;S3;I;3;SAO PAULO;SP;09/2019;2.724;647.295;161.995;9.427.164;-229.541;9.197.624;314;39.422;328;-335;39.729;2.503.131;7.050;700.288;13.259.836;328;13.259.508
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;09/2019;58.062;395.010;3.250.199;4.163.755;-246.115;3.917.640;0;0;0;0;0;3.678.705;250.206;701.039;12.250.861;0;12.250.861
BANCO CLASSICO S.A.;31597552;b1;S3;I;2;RIO DE JANEIRO;RJ;09/2019;802;1.318.765;10.197.801;0;0;0;0;0;0;0;0;57.716;2;341.164;11.916.250;0;11.916.250
MERCEDES-BENZ;51262;b2;S3;C;3;SAO PAULO;SP;09/2019;40.728;49.639;629;10.357.489;-355.172;10.002.317;857;198.734;11.545;-11.191;199.944;1.443.453;19.654;6.555;11.762.918;11.545;11.751.374
