Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;12/2000;539.158;215.761;417.997;397.582;121.161;14.319;121.161;41,40%;0,00%;4;0
PEBB;31158;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;529.815;2.839;424.178;410.509;105.637;5.169;105.637;48,70%;0,00%;5;0
PRIMUS;20255;b1;;C;3;RIO DE JANEIRO;RJ;12/2000;520.591;45.629;485.724;380.940;34.867;1.435;34.867;22,45%;0,00%;4;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;12/2000;504.718;146.415;447.409;428.981;57.309;3.826;57.309;22,40%;0,00%;50;16
FATOR;50122;b1;;C;2;SAO PAULO;SP;12/2000;502.441;0;456.935;297.004;45.506;3.785;45.506;22,53%;0,00%;6;0
BANCO JOHN DEERE S.A.;91884981;b1;;I;2;PORTO ALEGRE;RS;12/2000;497.335;422.953;422.923;413.513;74.413;4.388;74.413;16,60%;0,00%;1;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;12/2000;481.145;211.437;419.747;378.786;61.398;1.358;61.398;36,29%;0,00%;37;41
BANCO NEW HOLLAND BRASIL S.A.;2992446;b2;;I;3;CURITIBA;PR;12/2000;476.842;440.537;420.844;395.863;55.998;4.253;55.998;12,12%;0,00%;1;0
PINE;50304;b1;;C;2;SAO PAULO;SP;12/2000;459.607;342.461;333.208;308.945;126.399;1.568;126.399;29,86%;0,00%;5;1
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;454.334;375.971;366.420;357.706;87.914;8.051;87.914;17,50%;0,00%;2;0
BANCO DO ESTADO DO AMAZONAS S.A.;4562120;b1;;I;1;MANAUS;AM;12/2000;405.497;135.443;281.986;248.505;123.510;4.939;97.585;39,83%;0,00%;36;13
BANCO COOPERATIVO DO BRASIL S.A.;2038232;b1;;I;2;BRASILIA;DF;12/2000;385.652;145.976;352.165;318.539;33.487;582;35.990;15,23%;0,00%;1;0
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;12/2000;367.000;296.844;315.710;289.103;51.290;6.214;51.290;15,02%;0,00%;2;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;12/2000;366.357;154.493;329.568;315.991;36.789;2.609;36.789;16,14%;0,00%;5;0
HABITASUL - CREDITO IMOBILIARIO S/A;92859800;n1;;I;2;PORTO ALEGRE;RS;12/2000;354.136;280.331;324.495;306.683;29.641;609;29.641;13,94%;0,00%;1;0
ICATU;50995;b2;;C;2;RIO DE JANEIRO;RJ;12/2000;335.921;0;62.538;36.765;273.383;18.885;273.383;67,01%;0,00%;5;0
BANCO INVESTCRED S.A.;61182408;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;335.087;323.737;259.608;223.398;75.479;13.649;75.479;23,41%;0,00%;1;0
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;12/2000;329.649;186.921;244.000;226.828;85.649;6.984;85.649;29,17%;0,00%;3;0
PROSPER;50414;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;322.788;77.784;274.700;229.646;48.088;4.535;48.088;21,70%;0,00%;2;0
PARAIBAN-BANCO DO ESTADO DA PARAIBA S.A.;9093352;b1;;I;1;JOAO PESSOA;PB;12/2000;318.892;38.970;277.770;257.785;41.121;3.386;41.121;63,14%;0,00%;8;7
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;12/2000;310.526;214.110;251.164;226.202;59.362;671;59.362;17,37%;0,00%;3;0
CCC DO RIO GRANDE DO SUL LTDA;87437687;b3C;;I;2;PORTO ALEGRE;RS;12/2000;308.677;20.621;287.648;275.130;21.029;9;0;NI%;0,00%;0;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;302.738;0;1.664;94;301.075;21.798;301.075;12.706,83%;0,00%;1;0
LARCKY SOCIEDADE DE CREDITO IMOBILIARIO S.A.;35945542;n1;;I;2;RIO DE JANEIRO;RJ;12/2000;299.921;5.086;289.328;0;10.593;21;10.593;15,15%;0,00%;3;0
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;12/2000;292.528;140.045;239.947;195.283;52.581;5.682;52.581;27,91%;0,00%;1;0
BANCO COMERCIAL URUGUAI S.A.;74828799;b1;;I;3;PORTO ALEGRE;RS;12/2000;291.954;203.923;252.285;240.301;39.669;6.796;39.669;15,87%;0,00%;4;0
BANCO BRJ S.A.;27937333;b2;;I;2;RIO DE JANEIRO;RJ;12/2000;290.214;185.252;288.726;281.170;1.488;1.271;1.093;0,78%;0,00%;0;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;12/2000;275.304;148.334;247.349;144.332;27.955;4.351;27.955;12,40%;0,00%;2;0
QUALITY CORRETORA DE CAMBIO TIT E VALORES MOBILIARIOS LTDA;3014007;n2;;I;2;SAO PAULO;SP;12/2000;267.148;0;262.455;8.169;4.693;-165;4.693;48,37%;0,00%;4;0
HEWLETT-PACKARD ARRENDAMENTO MERCANTIL S.A.;2663739;n1;;I;3;BARUERI;SP;12/2000;261.124;154.273;157.367;131.414;103.756;8.690;103.756;58,86%;0,00%;1;0
UBS;31103;b1;;C;3;RIO DE JANEIRO;RJ;12/2000;238.814;209;179.031;86.503;59.783;6.860;59.783;63,20%;0,00%;8;0
BANCO WACHOVIA S.A.;33436486;b1;;I;3;SAO PAULO;SP;12/2000;236.595;113.366;160.978;129.725;75.617;3.733;75.617;56,55%;0,00%;1;0
OPPORTUNITY;51107;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;223.354;0;153.294;140.325;70.059;10.233;70.059;213,31%;0,00%;2;0
VOLVO;50933;b2;;C;3;CURITIBA;PR;12/2000;215.962;148.701;182.430;163.590;33.532;784;33.532;21,43%;0,00%;2;0
TRADICAO S/A CREDITO IMOBILIARIO;15213192;n1;;I;2;SALVADOR;BA;12/2000;205.417;216.590;196.188;195.186;9.229;8;9.229;14,59%;0,00%;2;0
BANCO GUANABARA S.A.;31880826;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;204.639;86.077;176.620;156.275;28.019;-8.149;28.019;30,03%;0,00%;1;0
BANCO REDE S.A.;33603457;b2;;I;2;SAO PAULO;SP;12/2000;202.607;7.198;4.091;728;198.515;5.709;198.515;86,89%;0,00%;1;0
ZOGBI LEASING S.A. - ARRENDAMENTO MERCANTIL;74533787;n1;;I;2;SAO PAULO;SP;12/2000;196.737;18.161;150.258;63.113;46.478;6.034;46.478;111,79%;0,00%;1;0
BANCO DE LA PROVINCIA DE BUENOS AIRES;44189447;b1;;I;3;SAO PAULO;SP;12/2000;186.897;102.862;120.461;109.927;66.436;7.370;66.436;62,79%;0,00%;2;0
DOMUS - CIA. DE CREDITO IMOBILIARIO;10372647;n1;;I;2;FORTALEZA;CE;12/2000;185.938;79.420;178.328;175.681;7.610;-1.108;7.610;5,24%;0,00%;1;0
CAIXA ESTADUAL S.A. AGENCIA DE FOMENTO;2885855;n1;;I;1;PORTO ALEGRE;RS;12/2000;180.690;0;193;0;180.497;-415;0;NI%;0,00%;1;0
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;12/2000;176.823;104.142;135.081;112.954;41.741;-2.259;41.741;25,71%;0,00%;2;0
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;12/2000;173.024;46.643;146.077;93.073;26.947;855;26.947;22,90%;0,00%;4;0
BANCO ABB S.A.;4095983;b2;;I;3;SAO PAULO;SP;12/2000;163.907;0;120.803;118.520;43.104;1.448;43.104;8.218,64%;0,00%;1;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;12/2000;161.523;117.310;83.948;42.016;77.575;16.993;77.575;53,59%;0,00%;1;0
BANCO DO ESTADO DO PIAUI S.A. - BEP;6833131;b1;;I;1;TERESINA;PI;12/2000;155.956;37.005;125.774;118.045;30.182;743;30.182;51,35%;0,00%;7;4
INTERCAP;50476;b1;;C;2;SAO PAULO;SP;12/2000;153.640;101.984;126.961;100.974;26.679;1.635;26.679;21,07%;0,00%;3;0
MAXIMA FINANCEIRA-CREDITO,FINANCIAMENTO E INVESTIMENTO S.A;3928044;n1;;I;2;RIO DE JANEIRO;RJ;12/2000;148.236;149.016;128.847;116.370;19.390;4.248;19.390;11,00%;0,00%;1;0
COOP. CENTRAL CREDITO RURAL MG LTDA. CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;12/2000;142.848;26.658;133.153;0;9.695;14;0;NI%;0,00%;0;0
BANCO FICSA S.A.;61348538;b1;;I;2;SAO PAULO;SP;12/2000;139.584;92.052;90.553;72.895;49.031;5.463;49.031;32,73%;0,00%;1;0
BANCO EUROINVEST S.A. - EUROBANCO;13636030;b2;;I;2;RIO DE JANEIRO;RJ;12/2000;132.788;105.725;91.328;64.021;41.460;-995;41.460;22,47%;0,00%;1;0
TENDENCIA;42264;b2;;C;2;SAO PAULO;SP;12/2000;132.003;0;27.005;1.086;104.998;8.528;104.998;243,87%;0,00%;3;0
CCR COOPERCITRUS - CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;12/2000;128.813;81.365;87.226;82.476;41.587;2.962;0;NI%;0,00%;0;11
BANCO PECUNIA S.A.;60850229;b1;;I;2;SAO PAULO;SP;12/2000;128.178;87.676;104.578;83.896;23.599;3.490;23.599;17,71%;0,00%;1;0
SANTOS CORRETORA DE CAMBIO E VALORES S/A;61658811;n2;;I;2;SAO PAULO;SP;12/2000;125.896;0;104.586;0;21.310;1.337;21.310;163,35%;0,00%;2;0
EL CAMINO RESOURCES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;RIO DE JANEIRO;RJ;12/2000;124.962;60.995;116.024;66.993;8.938;347;12.088;10,12%;0,00%;2;0
AGENCIA DE FOMENTO DO PARANA S.A.;3584906;n1;;I;1;CURITIBA;PR;12/2000;116.151;995;2.202;0;113.950;7.501;0;NI%;0,00%;1;0
DC CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A.;33806647;n2;;I;2;RIO DE JANEIRO;RJ;12/2000;114.187;0;97.819;11.400;16.367;1.398;16.367;24,79%;0,00%;2;0
CCCR DO ESTADO DE SAO PAULO - SICOOB - SP - COCECRER;63917579;b3C;;I;2;SAO PAULO;SP;12/2000;114.000;18.329;97.384;95.797;16.616;5.668;0;NI%;0,00%;0;0
BANCO CREDIBEL S.A.;69141539;b1;;I;2;SAO PAULO;SP;12/2000;112.451;44.906;63.383;53.051;49.068;6.012;49.068;72,09%;0,00%;4;3
ADVALOR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;33824012;n2;;I;2;RIO DE JANEIRO;RJ;12/2000;110.067;0;108.398;108.075;1.669;133;1.669;558,88%;0,00%;1;0
CATERPILLAR;51231;n1;;C;3;SAO PAULO;SP;12/2000;109.184;99.464;80.401;65.497;28.783;-494;28.783;26,01%;0,00%;2;0
BANCO GE CAPITAL S.A.;62421979;b1;;I;3;SAO PAULO;SP;12/2000;106.445;67.375;85.190;53.122;21.255;-8.245;21.255;22,36%;0,00%;2;0
VR;50524;b1;;C;2;SAO PAULO;SP;12/2000;106.169;35.509;65.603;39.517;40.566;1.401;40.566;61,58%;0,00%;2;0
BMW LEASING DO BRASIL S.A. - ARRENDAMENTO MERCANTIL;60872983;n1;;I;3;SAO CAETANO DO SUL;SP;12/2000;104.966;47.647;99.126;44.466;5.840;-745;5.840;8,55%;0,00%;2;0
BANCO SANTOS NEVES S.A.;28157204;b1;;I;2;VITORIA;ES;12/2000;102.830;72.187;84.881;82.771;17.949;1.714;17.949;19,86%;0,00%;3;2
BANCO MORADA S.A.;32504094;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;100.662;64.602;78.719;76.152;21.943;1.021;21.943;20,00%;0,00%;11;0
BANCO ARAUCARIA S.A.;78336633;b1;;I;2;CURITIBA;PR;12/2000;99.093;38.587;66.951;57.089;32.142;2.021;32.142;18,77%;0,00%;3;0
