Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;06/2018;3.560.270;0;2.391.421;168.033;143.098;116.808;106.543;103.362;100.047;430.957;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;06/2018;3.496.787;0;3.025.713;103.909;43.433;23.901;77.989;15.862;150.459;55.522;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;06/2018;3.464.341;90;1.545.954;526.203;1.004.049;154.803;60.049;36.491;27.895;108.807;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;06/2018;3.439.944;559.971;539.331;968.336;86.194;143.062;68.325;126.645;48.322;36.621;863.137
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;06/2018;3.417.510;314.227;463.609;864.528;824.433;199.953;150.762;9.624;216.881;133.911;239.581
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;06/2018;3.390.073;624.054;1.494.135;542.830;192.331;0;5;15.796;11.344;37.532;472.045
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;06/2018;3.054.353;250.386;1.171.966;963.445;383.219;202.679;24.789;10.762;4.240;42.867;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;06/2018;3.034.170;478.617;918.954;892.077;343.087;65.174;153.838;26.891;23.493;132.038;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;06/2018;3.022.207;78.456;1.728.897;762.427;160.325;99.868;99.412;8.430;8.077;76.315;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;06/2018;2.877.251;409.610;2.088.113;157.798;92.479;39.932;19.240;19.220;9.899;40.961;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;06/2018;2.827.749;0;1.769.003;730.121;234.953;41.588;22.989;7.259;7.118;14.718;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;06/2018;2.762.363;1.456.532;735.540;467.418;46.243;11.279;13.173;4.021;99;28.058;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;06/2018;2.726.027;770.159;55.441;1.795.722;32.009;0;72.695;0;0;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;06/2018;2.460.880;0;1.685.898;359.561;156.950;78.708;53.198;35.310;24.170;67.085;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;06/2018;2.358.220;526.650;748.936;530.252;228.414;88.933;123.489;20.737;28.616;62.195;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;06/2018;2.292.732;1;1.393.453;107.515;85.641;70.226;61.861;79.044;100.673;394.320;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;06/2018;2.268.259;0;1.120.417;82.962;308.703;130.443;72.973;111.481;58.431;382.849;0
