Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;670.228.054;312.727.077;76.586.050;73.960.743;28.295.664;116.148.716;2.127.578;60.382.228
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;06/2015;9.912.735;6.112.519;740.513;133.768;538.393;2.287.401;100.141;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;06/2015;9.386.922;463.723;8.771.705;73.133;40.643;26.238;11.481;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;06/2015;8.591.845;3.525.012;1.100.795;1.468.922;163.658;1.502.070;27.976;803.411
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;8.575.498;6.072.943;408.003;1.226.226;138.198;506.585;223.543;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;06/2015;7.815.525;4.248.107;1.153.837;791.553;574.599;870.360;177.069;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;06/2015;7.767.219;4.263.154;925.178;804.094;312.237;1.421.361;41.194;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;06/2015;6.569.911;2.562.160;264.960;100.782;6.163;225.873;0;3.409.973
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;06/2015;6.253.240;1.448.222;1.627.928;522.233;251.736;2.401.087;2.034;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;06/2015;5.483.675;5.376.079;38.347;42.947;1.694;24.599;9;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;06/2015;5.399.371;3.197.820;308.064;386.952;22.030;588.554;181;895.771
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;06/2015;5.355.244;698.690;2.591.253;538.706;252.501;1.269.429;4.664;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;06/2015;4.777.068;1.429.652;965.571;443.166;146.253;1.789.747;2.679;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;06/2015;4.379.773;2.488.863;324.373;408.907;121.608;339.929;696.093;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;06/2015;4.334.077;1.910.377;540.433;806.199;225.377;851.443;248;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;06/2015;4.198.548;3.256.460;188.414;302.205;49.940;246.418;155.111;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;06/2015;4.186.768;4.036.162;9.890;41.837;61.733;7.499;29.646;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;06/2015;4.008.086;1.458.487;444.478;512.929;240.801;1.351.220;171;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;06/2015;3.840.662;2.424.303;142.504;60.137;5.628;155.593;0;1.052.497
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;06/2015;3.838.842;1.826.270;428.708;483.625;44.393;501.673;14.847;539.327
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;06/2015;3.809.694;3.366.570;48.767;126.939;52.985;214.433;1;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;06/2015;3.797.791;985.422;136.817;125.500;25.631;2.431.100;93.321;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;06/2015;3.785.770;3.317.764;46.406;105.047;11.717;282.142;22.695;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;06/2015;3.762.511;1.366.686;803.735;488.653;1.033.522;66.948;2.966;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;06/2015;3.625.600;146.364;9.849;390;913;3.468.076;7;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;06/2015;3.515.358;1.337.503;354.571;483.130;374.710;965.437;7;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;06/2015;3.325.163;1.214.114;526.033;940.516;362.000;265.557;16.943;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;06/2015;3.272.267;9.151;4.905;15.552;3.231.439;1.415;9.806;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;06/2015;3.081.645;1.772.237;715.049;328.262;82.537;177.465;6.096;0
ING;51.073;b1;C;3;;199;SAO PAULO;SP;06/2015;2.930.104;2.574.314;0;334.049;0;21.741;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;06/2015;2.747.031;956.174;45.512;174.885;48.023;55.656;1;1.466.780
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;06/2015;2.444.213;460.493;143.626;413.920;115.620;110.289;1.200.264;0
INDUSVAL;50.531;b1;C;2;;199;SAO PAULO;SP;06/2015;2.159.949;1.294.736;245.289;98.714;12.738;365.175;3;143.296
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;06/2015;2.043.513;726.505;733.944;516.756;4.050;62.258;0;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;06/2015;1.997.382;986.208;131.668;396.775;149.197;235.154;98.382;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;06/2015;1.986.888;1.953.857;26.969;654;1.790;3.180;437;0
JP MORGAN CHASE;20.107;b1;C;3;;199;SAO PAULO;SP;06/2015;1.965.610;1.604.049;35.659;98.836;15.977;211.089;0;0
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;06/2015;1.955.109;829.812;214.024;283.014;74.521;553.092;644;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;06/2015;1.919.352;682.388;222.240;165.201;71.141;778.382;0;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;06/2015;1.915.703;3.623;984;1.837.961;178;330;72.628;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;;8;SAO PAULO;SP;06/2015;1.849.211;1.460.921;267.705;43.315;32.011;45.260;0;0
SOFISA;31.873;b1;C;2;;199;SAO PAULO;SP;06/2015;1.827.732;1.341.931;103.569;104.921;51.325;225.846;140;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;06/2015;1.815.668;9.522;1.785;6.292;1.932;1.785.847;10.290;0
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;1.759.114;1.170.070;207.878;146.621;14.239;164.634;55.671;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;;8;SAO PAULO;SP;06/2015;1.656.165;587.816;337.646;283.700;286.213;160.311;480;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;;199;SAO PAULO;SP;06/2015;1.589.462;1.080.373;122.496;85.497;176.604;117.643;6.849;0
CREDIT AGRICOLE;51.066;b1;C;3;;199;SAO PAULO;SP;06/2015;1.583.455;1.296.105;173.081;58.825;0;55.444;0;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;;9;SERTAOZINHO;SP;06/2015;1.564.697;1.548.153;14.893;14;988;173;476;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;;8;UBERLANDIA;MG;06/2015;1.482.549;524.933;129.588;327.323;141.827;127.819;231.059;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;;9;BRASILIA;DF;06/2015;1.220.074;439.808;234.579;327.058;69.308;148.333;987;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;;25;BRASILIA;DF;06/2015;1.206.094;217.078;629.857;134.677;68.476;154.733;1.274;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;06/2015;1.192.853;2.873;1.165.787;5.889;1.352;13.897;3.056;0
BANCO FORD S.A.;90.731.688;b2;I;3;;8;SAO PAULO;SP;06/2015;1.190.551;490.151;126.904;182.956;61.099;329.440;1;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;;19;BARUERI;SP;06/2015;1.162.922;1.032.379;10.519;24.888;1.954;92.970;213;0
BBM;30.207;b1;C;2;;199;SALVADOR;BA;06/2015;1.161.268;692.567;147.489;139.584;208;160.831;4;20.585
BMW;51.420;n1;C;3;;197;SAO PAULO;SP;06/2015;1.159.776;639.440;109.773;138.826;37.100;234.442;196;0
MIZUHO;51.554;b1;I;3;;199;SAO PAULO;SP;06/2015;1.078.018;797.387;97.698;113.418;62.511;0;0;7.005
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;06/2015;1.071.499;496.091;69.108;35.188;16.962;278.723;175.426;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;;5;VITORIA;ES;06/2015;1.070.580;1.065.109;248;2.303;1.889;274;757;0
BES;51.482;b2;C;3;;198;SAO PAULO;SP;06/2015;1.070.476;576.019;20.232;116.223;40.945;132.973;0;184.084
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;;30;SAO PAULO;SP;06/2015;1.042.488;1.038.431;0;151;0;3.906;0;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;;9;CAMPO MOURAO;PR;06/2015;961.304;4.288;70.823;5;92;885.062;1.035;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;;9;MARINGA;PR;06/2015;918.070;122.416;13.595;386;2.079;774.303;5.291;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;;8;SAO PAULO;SP;06/2015;908.651;521.794;148.571;30.233;0;208.053;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;;30;CURITIBA;PR;06/2015;863.814;156;72;32;2.746;860.489;318;0
BANCO MONEO S.A.;7.441.209;b2;I;2;;8;CAXIAS DO SUL;RS;06/2015;852.808;381.335;67.978;131.747;72.405;199.275;67;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;;9;MEDIANEIRA;PR;06/2015;817.085;76.479;6.933;641;802;727.617;4.613;0
CAIXA GERAL;51.815;b1;C;3;;199;SAO PAULO;SP;06/2015;803.017;559.667;21.433;102.643;1.808;117.466;0;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;;8;PORTO ALEGRE;RS;06/2015;783.721;105.924;10.600;7.833;3.443;642.985;12.935;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;;9;CERRO LARGO;RS;06/2015;702.055;3.160;5.220;1.420;57;688.484;3.715;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;;8;SAO PAULO;SP;06/2015;690.279;490.127;45.025;7.168;0;147.958;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;;9;GOIANIA;GO;06/2015;673.976;3.076;576.126;677;93.649;272;176;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;;30;FLORIANOPOLIS;SC;06/2015;673.955;0;1.491;0;649;671.814;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;;9;LINHARES;ES;06/2015;664.350;654.432;1.919;5.952;1.414;189;445;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;;9;CHAPECO;SC;06/2015;649.484;662;1.697;63;474;646.133;456;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91.586.982;b3S;I;2;;9;NOVA PETROPOLIS;RS;06/2015;626.298;1.621;186;155;25;619.784;4.527;0
BANCO BONSUCESSO S.A.;71.027.866;b1;I;2;;8;BELO HORIZONTE;MG;06/2015;600.017;295.904;65.802;97.155;39.553;44.545;57.057;0
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35.571.249;b3S;I;2;;9;JOAO PESSOA;PB;06/2015;598.988;183;125;597.237;927;81;435;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;;9;PALOTINA;PR;06/2015;591.660;33.118;4.477;2.328;1.091;547.097;3.549;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;;30;SALVADOR;BA;06/2015;588.657;38.150;18.784;522.569;1.990;5.119;2.046;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53.923.116;b3S;I;2;;9;RIBEIRAO PRETO;SP;06/2015;585.236;573.810;10.806;0;285;29;305;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b2;I;3;;8;GUARULHOS;SP;06/2015;551.075;197.830;61.571;152.436;79.678;55.072;4.487;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;06/2015;550.142;546.846;225;1.489;791;156;635;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;;8;SAO PAULO;SP;06/2015;549.840;443.596;57.869;36.996;562;10.081;735;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;;9;DOURADOS;MS;06/2015;548.848;16.922;502.940;51;1.090;24.431;3.414;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31.815.293;b3S;I;2;;9;SAO GABRIEL DA PALHA;ES;06/2015;529.731;523.601;30;2.341;3.221;71;467;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81.607.046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;06/2015;522.064;1.387;1.424;254;303;518.289;406;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26.555.235;b3S;I;2;;9;SORRISO;MT;06/2015;516.133;1.701;499.884;186;650;11.707;2.005;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87.780.268;b3S;I;2;;9;ERECHIM;RS;06/2015;504.084;518;1.165;113;3.082;497.150;2.057;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2.398.976;b3S;I;2;;9;LONDRINA;PR;06/2015;500.482;52.368;3.455;135;21;444.285;217;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;;9;SANTA MARIA;RS;06/2015;491.668;350;212;85;57;488.115;2.850;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;;9;CANARANA;MT;06/2015;483.383;13.022;450.149;699;2.019;15.994;1.499;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88.038.260;b3S;I;2;;9;CRUZ ALTA;RS;06/2015;471.959;456;258;11;772;468.874;1.588;0
BANCO MODAL S.A.;30.723.886;b1;I;2;;8;RIO DE JANEIRO;RJ;06/2015;471.403;347.882;0;57.200;23.290;43.031;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87.733.077;b3S;I;2;;9;ITAQUI;RS;06/2015;456.534;2.806;16;39;2;451.173;2.498;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74.064.502;b3S;I;2;;9;FLORIANOPOLIS;SC;06/2015;449.810;667;129;43;264;448.361;347;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;;9;CARLOS BARBOSA;RS;06/2015;447.769;177;418;87;77;444.837;2.172;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32.467.086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;06/2015;442.079;440.719;163;387;310;120;380;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74.114.042;b3S;I;2;;9;ITAJAI;SC;06/2015;441.911;935;405;152;45;440.017;357;0
BANCO RANDON S.A.;11.476.673;b1;I;2;;8;CAXIAS DO SUL;RS;06/2015;437.168;214.623;40.009;17.040;16.684;148.806;7;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO-SERRANA DO ESPÍRITO SANTO - SICOOB CENTRO-SERRANO;31.804.966;b3S;I;2;;9;SANTA MARIA DE JETIBA;ES;06/2015;435.942;434.301;37;1.056;53;126;369;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUARIBA;44.469.161;b3S;I;2;;9;GUARIBA;SP;06/2015;429.038;429.030;0;0;0;0;9;0
BANIF;20.255;b1;C;3;;199;SAO PAULO;SP;06/2015;426.756;258.905;12.572;110.517;9.832;33.199;1.730;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NORTE MATO-GROSSENSE - SICREDI NORTE MT;37.442.605;b3S;I;2;;9;COLIDER;MT;06/2015;421.247;5.888;360.060;192;46.103;6.757;2.248;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24.795.049;b3S;I;2;;9;RIO VERDE;GO;06/2015;419.081;9.917;408.436;0;682;2;44;0
BOFA MERRILL LYNCH;51.255;b1;C;3;;199;SAO PAULO;SP;06/2015;418.902;418.897;0;0;0;0;4;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO;70.431.630;b3S;I;2;;9;JUINA;MT;06/2015;415.393;6.279;322.005;179;76.709;7.810;2.411;0
BANCO DA CHINA BRASIL S.A.;10.690.848;b1;I;3;;8;SAO PAULO;SP;06/2015;409.754;150.749;25.121;55.634;0;178.250;0;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3.459.850;b3S;I;2;;9;MARINGA;PR;06/2015;409.607;6.631;5.743;26;51;396.498;658;0
BANCO SEMEAR S.A.;795.423;b1;I;2;;8;BELO HORIZONTE;MG;06/2015;401.075;174.214;52.670;27.874;13.934;11.836;120.546;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43.818.780;b2;I;3;;8;BARUERI;SP;06/2015;397.678;294.236;9.653;23.407;6.405;63.967;10;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42.898.825;b3S;I;2;;9;BELO HORIZONTE;MG;06/2015;393.541;391.597;242;878;134;123;568;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO;36.900.256;b3S;I;2;;9;CUIABA;MT;06/2015;389.582;1.150;386.597;78;926;633;198;0
RENDIMENTO;51.468;b1;C;2;;199;SAO PAULO;SP;06/2015;387.055;345.296;7.818;865;20.298;11.681;1.096;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO CERRADO - SICREDI VALE DO CERRADO;32.983.165;b3S;I;2;;9;CAMPO VERDE;MT;06/2015;383.364;10.540;366.393;173;441;4.980;837;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;;14;SAO PAULO;SP;06/2015;379.847;201.973;39.883;56.396;71.467;9.268;861;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE DE MATO GROSSO - SICREDI SUDOESTE MT;32.995.755;b3S;I;2;;9;TANGARA DA SERRA;MT;06/2015;374.153;2.073;363.185;246;1.238;5.221;2.191;0
COOPERATIVA DE CRÉDITO E DE INVESTIMENTO DE LIVRE ADMISSÃO FRONTEIRAS DO IGUAÇU E SUDESTE PAULISTA - SICREDI FRONTEIRAS PR/SC/SP;82.527.557;b3S;I;2;;9;CAPANEMA;PR;06/2015;369.235;38.257;1.685;85;771;326.878;1.560;0
BANCO GUANABARA S.A.;31.880.826;b1;I;2;;8;RIO DE JANEIRO;RJ;06/2015;365.503;244.531;1.720;91.505;12.890;14.857;0;0
