Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;06/2019;4.919.901;0;51.660;226.985;6.126;0;0;0;284.771;0;17.045;83.001;36.057;4.204;0;0;140.306;0;0;0;0;0;0;0;0;11.745;2.306.773;1.971.551;115.105;35.122;54.521;0;4.494.816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;06/2019;4.507.710;7.136;53.445;127.320;170.270;164.260;12.610;109.483;644.524;8.297;55.605;149.788;240.843;115.053;32.660;753;602.999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.744;52.904;63.796;46.065;6.228;0;0;170.737;28.879;172.924;412.463;876.513;610.296;410.048;22.006;2.533.129;1.194;101.184;126.673;143.702;100.872;82.695;0;556.320;0;0;0;0;0;0;0;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;06/2019;4.397.017;906;165.609;327.392;442.124;9.266;0;41.059;986.355;0;0;0;0;0;0;0;0;54;53.700;50.975;0;0;0;0;104.729;22.049;2.017.365;73.728;0;0;0;0;2.113.142;15.920;110.281;278.729;86.342;8.751;0;14.563;514.587;0;27.602;6.345;20.158;271;0;37.593;91.969;0;11.398;45.962;90.512;0;0;0;147.873;0;14.687;6.002;0;0;0;0;20.689;0;0;0;0;0;0;0;0;417.673
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;06/2019;4.353.151;1.307;288.136;398.215;283.731;11.675;0;0;983.065;504;123.258;255.803;239.397;29.169;1;0;648.131;0;106.364;115.035;0;0;0;0;221.399;171;856.255;339.934;2.403;0;0;0;1.198.763;0;77.173;179.266;157.517;0;0;0;413.956;10.516;5;0;0;0;0;0;10.521;83;54.072;155.056;369.137;283.323;14.297;0;875.969;0;63;195;635;456;0;0;1.348;0;0;0;0;0;0;0;0;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;06/2019;4.211.955;0;6.345;29.244;83.826;0;0;0;119.415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.449.885;1.793.386;448.670;0;0;0;3.691.941;0;0;0;0;400.599;0;0;400.599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;06/2019;4.194.979;7.541;1.365.365;685.042;38;0;0;0;2.057.986;5.298;73.866;185.431;296.603;118.645;529;0;680.372;0;0;0;0;0;0;0;0;223.719;98.891;3.775;4;0;0;0;326.389;0;0;0;0;0;0;0;0;0;10.096;9.353;2.669;1.167;0;0;23.284;3.684;86.406;199.545;353.750;148.408;346;0;792.139;858;11.100;61.755;120.455;90.134;30.506;0;314.808;0;0;0;0;0;0;0;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;06/2019;4.065.441;300;94.860;340.900;475.818;57.953;100;5.751;975.682;0;48.303;64.717;1.709;0;0;0;114.728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.717;155.703;598.802;358.070;23.979;0;0;1.147.271;22.472;112.025;111.524;370.167;69.054;4.686;0;689.928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.137.832
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;06/2019;3.704.693;707;8.000;19.809;31.534;14.229;20.726;0;95.005;3.604;127.683;348.936;618.622;196.404;885;0;1.296.134;0;0;0;0;0;0;0;0;1;55.182;64.071;0;0;0;0;119.254;0;0;0;0;0;0;0;0;76;880;2.089;4.408;9;0;0;7.462;7.779;251.702;599.654;945.157;349.353;33.194;0;2.186.839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;06/2019;3.381.785;6.438;405.904;658.598;525.894;43.821;4.092;0;1.644.747;71;127;333;980;124;0;0;1.635;2.098;383.487;249.499;27.075;0;0;0;662.158;150;246.736;15.262;0;0;0;0;262.147;9.007;293.580;273.495;96.970;487;0;168;673.706;603;59.572;64.791;7.839;457;272;0;133.535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.857
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;06/2019;3.279.366;0;0;0;0;0;0;0;0;3.617;359.814;250.076;309.486;19.705;8;0;942.706;0;0;0;0;0;0;0;0;6;903.048;1.418.064;0;0;0;0;2.321.118;0;0;0;0;0;0;0;0;0;431;12.925;1.653;533;0;0;15.542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
