Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BRB;31976;b1;;C;1;BRASILIA;DF;09/2010;285.704;0;77.895;0;222;22.020;385.842;-121.271;-660;0;0;-28.716;-150.646;235.195;8.705;24.734;-79.443;-57.171;-15.615;2.424;10.837;-64.771;-170.300;64.896;-511;64.385;-18.354;-5.544;40.487;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;09/2010;112.625;248.053;4.445;0;0;0;365.124;-60.156;0;-188.062;0;-14.339;-262.557;102.566;7.301;28.205;-3.222;-84.707;-13.233;7.186;29.357;-46.334;-75.447;27.119;237;27.356;2.641;0;29.997;-4.914
FIBRA;49951;b1;;C;2;SAO PAULO;SP;09/2010;296.536;0;61.295;-64.500;62.227;0;355.558;-222.034;-58.718;0;0;-47.148;-327.900;27.658;6.187;15.584;-34.063;-74.051;-10.494;-17.826;123.901;-28.066;-18.828;8.830;2;8.831;-12.768;-2.598;-6.535;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2010;332.595;2.978;87.124;-74.026;0;1.587;350.258;-181.058;-2.544;-2.010;-1.724;-65.483;-252.820;97.438;12.271;14.371;-65.032;-75.700;-2.711;4.096;80.019;-42.754;-75.441;21.997;60;22.057;-7.646;-28;14.383;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;09/2010;285.516;0;138.473;-117.681;28.423;0;334.731;-169.960;-1.017;0;0;108;-170.869;163.862;10.337;396;-30.004;-67.833;-3.703;893;93.300;-93.982;-90.597;73.265;-2;73.262;-27.314;-700;45.248;-15.800
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2010;170.721;21.596;113.443;128;5.267;8.513;319.669;-163.789;-3.943;-15.148;0;-18.522;-201.402;118.266;44.608;4.408;-48.262;-43.867;-10.847;1.472;6.450;-14.455;-60.494;57.772;6.136;63.908;-20.969;-3.057;39.881;-9.907
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2010;133.104;170.041;6.356;0;0;0;309.501;-8.637;-78.722;-137.072;0;-28.059;-252.489;57.012;87;3.824;-9.955;-12.042;-11.903;0;5.955;-2.214;-26.249;30.762;-165;30.597;-13.148;0;17.449;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2010;243.836;0;98.614;-33.176;0;0;309.274;-136.620;-10.252;0;-468;-52.123;-199.463;109.811;3.102;5.375;-22.293;-28.997;-14.239;3.803;95.921;-21.168;21.504;131.314;-1.435;129.879;-37.653;-7.238;84.987;-23.909
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2010;85.295;0;188.899;-44;557;3.595;278.302;-211.053;-22.809;0;0;492;-233.371;44.931;6.773;8;-15.311;-16.476;-2.859;986;3.489;-2.648;-26.038;18.894;-3;18.891;-7.583;0;11.308;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2010;317.104;26.637;-9.847;-71.739;0;0;262.154;-193.795;-11.436;-18.763;-39.573;-48.981;-312.548;-50.394;42.802;361;-48.393;-128.300;-12.140;27.122;325.585;-135.668;71.368;20.975;2.057;23.032;1.826;-9.464;15.394;0
