Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;06/2018;3.830.769;1.688.011;3.302.517;1.641.265;528.252;142.682;528.139;34,77%;0,04%;2;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;06/2018;3.808.308;3.560.541;3.134.180;1.319.016;674.128;119.633;659.678;17,77%;0,08%;2;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;06/2018;3.556.478;30.250;3.289.345;164.049;267.133;0;247.229;33,47%;3,60%;0;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;06/2018;3.383.945;3.002.592;2.486.284;2.355.679;897.661;62.646;885.535;25,81%;1,11%;3;0
SOCOPA - PRUDENCIAL;1000080381;b1;S4;C;2;SAO PAULO;SP;06/2018;3.360.734;549.497;3.105.910;2.231.580;254.824;23.623;245.516;18,34%;1,84%;4;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;06/2018;3.347.600;1.872.530;2.840.083;2.699.651;507.517;21.082;505.517;16,86%;6,47%;11;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;06/2018;3.153.767;2.358.220;2.446.381;2.328.029;707.386;17.346;557.386;18,57%;5,18%;2;0
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;06/2018;3.065.531;457.341;2.716.205;1.978.992;349.325;-17.346;232.162;12,80%;6,34%;6;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;06/2018;3.019.339;1.862.122;2.596.492;1.775.827;422.847;23.502;397.599;14,75%;3,55%;0;29
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;06/2018;2.986.505;2.062.014;2.466.669;2.208.727;519.836;61.307;519.836;29,00%;0,00%;2;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;06/2018;2.961.013;628.120;2.667.947;1.312.705;293.066;31.016;275.443;14,33%;5,09%;15;1
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;06/2018;2.920.175;43.750;2.797.587;203.800;122.587;6.745;81.072;12,66%;18,59%;0;0
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;06/2018;2.903.004;1.202.707;2.322.250;1.988.397;580.755;9.772;568.305;23,84%;0,48%;2;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;06/2018;2.886.512;6.679;2.765.883;1.935.323;120.629;17.278;115.629;14,50%;27,30%;0;0
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;06/2018;2.746.971;1.159.822;1.553.331;980.786;1.193.640;108.309;840.690;20,95%;32,90%;7;0
