Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;09/2018;12.672;1.079.010;1.725.453;495.797;-1.770;494.027;0;0;0;0;0;1.239.576;45.844;7.826;4.604.409;0;4.604.409
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;09/2018;165.706;87.014;521.870;1.187.187;-95.549;1.091.638;0;0;0;0;0;2.409.694;310;321;4.276.551;0;4.276.551
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;09/2018;203;348.556;389.082;2.254.718;-754.337;1.500.381;0;0;0;0;0;1.849.044;0;20.466;4.107.733;0;4.107.733
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE;33667205;b3C;S4;I;2;CUIABA;MT;09/2018;475;309.775;3.475.817;68.345;-5;68.340;0;0;0;0;0;76.068;40;49.549;3.980.065;0;3.980.065
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;09/2018;28.589;1.070.778;1.993.500;317.103;-30.855;286.248;0;0;0;0;0;493.943;7.702;24.457;3.905.218;0;3.905.218
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;09/2018;118;1.306.809;2.136.350;40.937;-428;40.508;0;0;0;0;0;26.358;249.288;30.211;3.789.643;0;3.789.643
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;09/2018;5.917;138.570;49.857;3.155.542;-91.375;3.064.168;1.602;55.108;697;-148;57.258;112.425;3.366;16.201;3.447.763;697;3.447.066
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;09/2018;8.504;129.207;921.783;1.918.854;-99.321;1.819.532;0;0;0;0;0;311.523;113.417;90.639;3.394.606;0;3.394.606
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;09/2018;66;2.128.947;837.069;43.750;-189;43.561;0;0;0;0;0;3.777;209.614;82.566;3.305.600;0;3.305.600
SOCOPA - PRUDENCIAL;1000080381;b1;S4;C;2;SAO PAULO;SP;09/2018;414.555;1.074.833;655.882;455.320;-14.632;440.688;0;0;0;0;0;677.943;28.729;10.520;3.303.151;0;3.303.151
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;09/2018;26.941;721.111;158.928;1.471.854;-31.021;1.440.833;0;0;0;0;0;633.557;219.797;34.378;3.235.546;0;3.235.546
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;09/2018;642;0;681.391;2.316.396;-260.432;2.055.964;0;0;0;0;0;293.600;118;28.488;3.060.203;0;3.060.203
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;09/2018;456;46.521;895.216;5.064;-1.860;3.204;0;0;0;0;0;3.029;2.063.239;41.143;3.052.809;0;3.052.809
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;09/2018;97.092;168.680;1.617.539;427.077;-24.763;402.313;0;0;0;0;0;298.471;263.326;91.112;2.938.532;0;2.938.532
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;09/2018;43.330;5.270;0;1.767.486;-83.879;1.683.607;0;0;0;0;0;115.117;891.281;140.628;2.879.232;0;2.879.232
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;09/2018;257;2.641.335;145.829;23.500;-405;23.095;0;0;0;0;0;2.803;183;38.436;2.851.939;0;2.851.939
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;09/2018;48.453;441.047;871.525;602.357;-1.504;600.853;0;0;0;0;0;853.504;581;3.049;2.819.013;0;2.819.013
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;09/2018;302.749;1.108.405;97.402;576.924;-16.262;560.662;0;0;0;0;0;524.661;191.148;18.272;2.803.298;0;2.803.298
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;09/2018;4.787;292.039;80.555;2.178.966;-380.269;1.798.697;124;39.462;19.128;-1.330;57.384;512.130;21.995;19.371;2.786.959;19.128;2.767.831
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR;543968;b3C;S4;I;2;FLORIANOPOLIS;SC;09/2018;45;29.668;2.578.984;0;0;0;0;0;0;0;0;989;142.932;14.074;2.766.692;0;2.766.692
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;S4;I;2;CABEDELO;PB;09/2018;112;10.505;2.603.050;134.724;-12.876;121.847;0;0;0;0;0;13.195;171;8.811;2.757.691;0;2.757.691
INDUSVAL - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;09/2018;15.560;735.025;622.696;323.831;-48.413;275.418;0;0;0;0;0;790.513;226.008;85.493;2.750.713;0;2.750.713
