Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;09/2016;1.566.363;0;1.566.363;0;1.566.363;8.414.570;71;0;0;0;71;1.449.452;9.864.092;12.021.631;15,88%;15,88%;15,88%;13,03%;4,09%
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;09/2016;2.013.883;0;2.013.883;0;2.013.883;6.268.572;168.810;3.821;2.580.832;103.746;2.857.209;555.151;9.680.932;7.820.776;20,80%;20,80%;20,80%;25,75%;37,64%
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;09/2016;1.088.337;0;1.088.337;335.324;1.423.661;8.659.681;30.004;642;52.416;34.381;117.444;855.810;9.632.934;15.193.880;11,30%;11,30%;14,78%;7,16%;14,16%
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;09/2016;757.192;0;757.192;710.929;1.468.121;9.449.731;34.592;10.263;0;0;44.855;29.609;9.524.196;15.102.947;7,95%;7,95%;15,41%;5,01%;36,11%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;09/2016;1.493.219;0;1.493.219;72.498;1.565.717;8.387.946;0;0;0;0;0;937.752;9.325.698;9.190.870;16,01%;16,01%;16,79%;16,25%;0,14%
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;09/2016;2.228.139;0;2.228.139;0;2.228.139;7.727.044;170.048;0;361.281;8.716;540.045;990.986;9.258.075;14.182.465;24,07%;24,07%;24,07%;15,71%;13,48%
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;09/2016;360.821;0;360.821;909.795;1.270.616;8.197.500;208.814;0;14;0;208.828;629.445;9.035.773;11.650.238;3,99%;3,99%;14,06%;3,10%;11,97%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;09/2016;2.367.647;0;2.367.647;0;2.367.647;3.558.440;1.001.499;22.724;1.452.243;965.023;3.441.489;1.221.527;8.221.456;15.786.748;28,80%;28,80%;28,80%;15,00%;0,49%
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;09/2016;1.134.476;0;1.134.476;0;1.134.476;6.736.551;7.177;0;112.320;0;119.497;928.649;7.784.698;34.317.569;14,57%;14,57%;14,57%;3,31%;8,53%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;09/2016;656.429;895;657.324;315.499;972.823;6.490.084;980;0;791;0;1.771;993.315;7.485.170;11.170.864;8,77%;8,78%;13,00%;5,88%;23,77%
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;09/2016;1.284.575;145.145;1.429.720;0;1.429.720;5.939.449;7.355;0;40.768;0;48.124;1.022.834;7.010.407;40.750.698;18,32%;20,39%;20,39%;3,51%;7,98%
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;09/2016;1.066.573;0;1.066.573;33.858;1.100.431;6.070.365;89.673;39.494;312.020;0;441.187;465.504;6.977.056;13.160.465;15,29%;15,29%;15,77%;8,10%;19,76%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;09/2016;1.220.045;0;1.220.045;0;1.220.045;6.156.092;0;0;0;0;0;608.984;6.765.076;6.941.594;18,03%;18,03%;18,03%;17,58%;0,72%
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;09/2016;962.896;0;962.896;0;962.896;5.720.721;137.081;0;454.840;0;591.921;436.756;6.749.398;7.732.493;14,27%;14,27%;14,27%;12,45%;10,42%
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;09/2016;1.207.260;0;1.207.260;0;1.207.260;5.205.200;101.841;0;87.029;0;188.871;1.275.557;6.669.627;21.694.878;18,10%;18,10%;18,10%;5,56%;22,16%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;09/2016;3.627.107;0;3.627.107;0;3.627.107;2.927.933;0;0;0;0;0;3.716.213;6.644.146;0;54,59%;54,59%;54,59%;NI%;0,99%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;09/2016;1.394.103;0;1.394.103;0;1.394.103;3.255.318;33.302;0;1.689.879;77.575;1.800.756;1.004.603;6.060.677;7.226.298;23,00%;23,00%;23,00%;19,29%;0,64%
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;09/2016;877.086;0;877.086;68.825;945.911;5.668.488;32.500;0;0;0;32.500;293.228;5.994.215;6.500.265;14,63%;14,63%;15,78%;13,49%;0,54%
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;09/2016;844.881;0;844.881;655.998;1.500.879;5.068.725;186.090;0;146.329;0;332.419;290.938;5.692.082;8.700.683;14,84%;14,84%;26,37%;9,71%;0,38%
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;09/2016;1.356.501;0;1.356.501;0;1.356.501;3.845.585;126.648;0;1.097.666;0;1.224.314;546.009;5.615.908;25.677.281;24,15%;24,15%;24,15%;5,28%;3,42%
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;09/2016;1.349.425;0;1.349.425;0;1.349.425;3.100.934;199.315;0;1.531.585;27.970;1.758.870;266.339;5.126.143;11.851.093;26,32%;26,32%;26,32%;11,39%;6,69%
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;09/2016;827.533;0;827.533;0;827.533;3.837.712;23.534;0;629.458;0;652.992;295.200;4.785.904;15.142.556;17,29%;17,29%;17,29%;5,46%;2,70%
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;09/2016;488.212;0;488.212;0;488.212;3.365.623;446;0;1.105.125;0;1.105.571;304.391;4.775.586;0;10,22%;10,22%;10,22%;NI%;11,36%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;09/2016;1.616.730;0;1.616.730;0;1.616.730;4.374.022;6.812;0;0;0;6.812;236.304;4.617.139;6.557.244;35,02%;35,02%;35,02%;24,66%;22,81%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;09/2016;620.245;0;620.245;0;620.245;3.575.482;0;0;18.150;0;18.150;717.468;4.311.100;0;14,39%;14,39%;14,39%;NI%;0,48%
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;09/2016;560.450;0;560.450;0;560.450;3.895.596;14.979;65.995;86.562;0;167.536;218.100;4.281.233;6.479.894;13,09%;13,09%;13,09%;8,65%;1,80%
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;09/2016;1.043.403;0;1.043.403;0;1.043.403;3.969.586;0;0;0;0;0;241.612;4.211.197;5.887.382;24,78%;24,78%;24,78%;17,72%;1,50%
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;09/2016;650.129;0;650.129;0;650.129;2.347.358;47.550;0;1.403.080;0;1.450.630;306.591;4.104.578;14.944.031;15,84%;15,84%;15,84%;4,35%;4,94%
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;09/2016;1.143.482;0;1.143.482;0;1.143.482;3.275.354;15.015;19;13.583;9.253;37.870;775.576;4.088.799;5.656.894;27,97%;27,97%;27,97%;20,21%;29,56%
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;09/2016;818.177;0;818.177;0;818.177;3.916.458;472;0;0;0;472;153.834;4.070.764;5.203.683;20,10%;20,10%;20,10%;15,72%;2,43%
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;09/2016;716.360;0;716.360;0;716.360;3.509.112;0;0;0;0;0;393.538;3.902.650;4.195.050;18,36%;18,36%;18,36%;17,08%;1,79%
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;09/2016;994.216;0;994.216;0;994.216;3.015.209;0;0;0;0;0;776.017;3.791.225;2.715.566;26,22%;26,22%;26,22%;36,61%;28,18%
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;09/2016;731.698;0;731.698;0;731.698;3.427.447;852;0;2.861;0;3.713;355.798;3.786.958;6.127.492;19,32%;19,32%;19,32%;11,94%;11,43%
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;09/2016;536.258;0;536.258;0;536.258;3.342.721;3.966;0;0;0;3.966;341.393;3.688.079;0;14,54%;14,54%;14,54%;NI%;5,89%
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;09/2016;579.623;0;579.623;0;579.623;3.583.508;0;0;0;0;0;67.801;3.651.309;5.370.484;15,87%;15,87%;15,87%;10,79%;2,89%
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;09/2016;813.773;0;813.773;0;813.773;2.336.841;54.886;0;957.168;0;1.012.055;246.614;3.595.510;7.747.331;22,63%;22,63%;22,63%;10,50%;0,31%
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;09/2016;790.039;0;790.039;49.817;839.856;3.308.124;32.323;0;0;0;32.323;228.039;3.568.487;3.448.015;22,14%;22,14%;23,54%;22,91%;0,70%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;09/2016;1.225.952;0;1.225.952;0;1.225.952;2.744.186;0;0;0;0;0;493.786;3.237.972;4.337.660;37,86%;37,86%;37,86%;28,26%;6,53%
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;09/2016;500.638;0;500.638;9.782;510.420;2.517.872;60.087;0;194.797;0;254.884;244.576;3.017.332;2.876.857;16,59%;16,59%;16,92%;17,40%;6,74%
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;09/2016;666.848;0;666.848;0;666.848;2.690.768;33.976;0;38.608;143;72.726;250.985;3.014.479;3.425.781;22,12%;22,12%;22,12%;19,47%;12,18%
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;09/2016;622.270;0;622.270;0;622.270;2.718.569;915;0;0;0;915;273.996;2.993.480;4.202.010;20,79%;20,79%;20,79%;14,81%;1,32%
