Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;06/2014;2.350;85.446;2.209.215;2.045.112;-179.322;1.865.790;1.063;640.243;80.556;-3.172;718.689;5.125.671;61.608;49.838;10.118.607;80.556;10.038.051
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;06/2014;15.722;1.755.038;897.300;0;0;0;0;0;0;0;0;5.650.664;4.192;38.484;8.361.400;0;8.361.400
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;06/2014;4.192;1.338.605;3.614.507;328.668;-201;328.467;0;0;0;0;0;2.540.473;188.463;34.295;8.049.003;0;8.049.003
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;I;2;SAO PAULO;SP;06/2014;85.057;329.409;1.575.271;4.273.654;-416.537;3.857.117;0;0;0;0;0;1.638.175;66.380;120.631;7.672.040;0;7.672.040
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;06/2014;83.622;459.845;4.676.309;1.384.977;-3.901;1.381.076;0;0;0;0;0;769.766;10.422;33.487;7.414.528;0;7.414.528
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;06/2014;8.527;1.869.462;1.785.680;671.921;-12.543;659.378;0;0;0;0;0;2.604.785;69.126;56.495;7.053.454;0;7.053.454
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;06/2014;4;1.376.839;5.101.992;240.373;-27;240.346;0;0;0;0;0;166.049;111;103.079;6.988.420;0;6.988.420
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;06/2014;23.668;2.972.501;0;1.040.219;-33.841;1.006.378;7.445;2.425.433;3.735;-45.210;2.391.403;163.431;67.444;136.897;6.761.722;3.735;6.757.987
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;06/2014;33.286;965.979;3.666;5.041.795;-224.898;4.816.897;766;93.337;33.887;-5.386;122.603;760.362;29.033;31.702;6.763.528;33.887;6.729.642
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;I;2;RIO DE JANEIRO;RJ;06/2014;286;1.147.489;4.731.889;0;0;0;0;0;0;0;0;285.459;8;75;6.165.204;0;6.165.204
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;06/2014;63.765;1.059.778;1.153.313;620.596;-533;620.062;0;0;0;0;0;3.032.165;3.955;20.138;5.953.176;0;5.953.176
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;06/2014;13.616;461.627;100.345;5.135.526;-138.063;4.997.463;135;5.601;2.073;-789;7.020;265.929;15.429;6.964;5.868.394;2.073;5.866.321
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;06/2014;236;438.092;0;4.842.394;-223.649;4.618.745;2.188;519.811;271.175;-18.823;774.352;248.499;13.688;10.006;6.103.617;271.175;5.832.442
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;06/2014;66.635;11.602;588.852;4.703.907;-187.337;4.516.570;0;0;0;0;0;322.525;11.287;104.963;5.622.432;0;5.622.432
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;I;1;ARACAJU;SE;06/2014;74.678;788.922;561.219;1.665.938;-82.548;1.583.390;0;0;0;0;0;417.901;1.823.589;102.337;5.352.037;0;5.352.037
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;06/2014;2.475;918.990;3.810.920;133.583;-668;132.915;0;0;0;0;0;362.705;323;65.541;5.293.868;0;5.293.868
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;06/2014;128.250;1.095.510;750.136;2.867.271;-151.866;2.715.405;0;0;0;0;0;201.168;301.706;90.663;5.282.838;0;5.282.838
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;06/2014;154;1.773.566;804.032;1.049.064;-67.504;981.560;0;0;0;0;0;55.798;1.611.991;34.765;5.261.866;0;5.261.866
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;06/2014;1.547;1.013.904;226.675;3.226.986;-86.578;3.140.407;0;0;0;0;0;81.291;104.260;640.471;5.208.554;0;5.208.554
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;06/2014;8.509;141.823;1.568.722;2.375.965;-99.036;2.276.929;0;0;0;0;0;862.584;154.579;113.215;5.126.362;0;5.126.362
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;06/2014;844;126.099;951.897;3.468.627;-197.598;3.271.028;0;729;860;0;1.588;340.971;20.984;22.928;4.736.339;860;4.735.479
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;06/2014;23.140;1.212.594;589.215;351.116;-106;351.009;0;0;0;0;0;2.397.951;2.902;2.854;4.579.664;0;4.579.664
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;06/2014;6.122;622.754;230.516;3.333.621;-64.151;3.269.471;1.113;186.584;85.143;-3.014;269.827;220.314;17.922;25.684;4.662.609;85.143;4.577.466
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;06/2014;1.597;45.436;0;4.478.753;-94.932;4.383.822;0;0;0;0;0;72.422;17.487;4.234;4.524.998;0;4.524.998
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;I;3;SAO PAULO;SP;06/2014;1.318;0;31;4.243.883;-175.541;4.068.342;153;20.596;1.157;-31;21.875;157.606;54.791;2.242;4.306.204;1.157;4.305.048
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;06/2014;2.029;0;154.775;1.298.352;-356.166;942.186;0;0;0;0;0;3.071.099;8.777;37.132;4.215.998;0;4.215.998
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;06/2014;10.271;677.808;1.595.580;1.511.293;-69.058;1.442.235;0;0;0;0;0;326.804;68.999;75.519;4.197.217;0;4.197.217
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;06/2014;63.634;50.361;1.125.117;1.694.674;-69.922;1.624.752;9;25.441;19.323;-730;44.043;475.341;620.012;213.155;4.216.414;19.323;4.197.092
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;06/2014;1.590;0;670.425;3.486.879;-94.817;3.392.061;0;0;0;0;0;92.973;164;37.754;4.194.967;0;4.194.967
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;06/2014;36.729;0;278.621;1.372.707;-197.763;1.174.944;0;0;0;0;0;2.420.513;7.026;6.974;3.924.808;0;3.924.808
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;06/2014;11.149;0;16.888;3.654.527;-128.877;3.525.650;1.351;67.608;26.696;-2.261;93.395;122.356;1.317;10.922;3.781.677;26.696;3.754.981
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;06/2014;3.032;0;1.118.905;2.310.296;-126.209;2.184.087;0;0;0;0;0;38.782;45.284;140.670;3.530.759;0;3.530.759
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;06/2014;13.216;1.092.585;836.838;642.761;-1.054;641.707;0;0;0;0;0;614.474;309.419;18.971;3.527.209;0;3.527.209
PSA FINANCE - PRUDENCIAL;1000080594;b2;;C;3;SAO PAULO;SP;06/2014;9.266;149.283;128.587;2.686.586;-52.560;2.634.026;168;30.134;16.694;-922;46.073;237.914;9.308;5.967;3.220.425;16.694;3.203.731
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;06/2014;4;661.123;2.260.367;96.064;-16;96.048;0;0;0;0;0;90.874;39;52.387;3.160.843;0;3.160.843
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;06/2014;6;2.808.252;254.799;0;0;0;0;0;0;0;0;2.996;1.624;81.545;3.149.221;0;3.149.221
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;06/2014;4.890;724.943;655.719;1.092.325;-31.823;1.060.501;0;0;0;0;0;367.757;85.469;64.791;2.964.071;0;2.964.071
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;06/2014;348;1.381.222;1.110.814;16.677;-332;16.345;0;0;0;0;0;23.596;176.663;171.737;2.880.725;0;2.880.725
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;06/2014;16;2.164.169;349.951;87.334;-528;86.805;0;0;0;0;0;3.547;17.017;94.819;2.716.323;0;2.716.323
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;06/2014;2.652;1.113;589.042;1.431.028;-37.951;1.393.077;922;173.932;2.435;-2.583;174.706;222.883;36.010;299.189;2.718.671;2.435;2.716.236
BONSUCESSO - PRUDENCIAL;1000080422;b1;;C;2;BELO HORIZONTE;MG;06/2014;2.096;222.179;410.679;1.722.161;-110.359;1.611.801;0;0;0;0;0;301.890;55.606;62.161;2.666.414;0;2.666.414
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;06/2014;12.050;533.156;113.522;1.159.071;-15.104;1.143.967;0;618;606;0;1.223;486.860;27.422;38.329;2.356.529;606;2.355.923
SCANIA - PRUDENCIAL;1000080776;b2;;C;3;SAO BERNARDO DO CAMPO;SP;06/2014;3.069;76.153;156.893;2.007.645;-37.656;1.969.988;15;11.323;2.691;-92;13.935;98.519;15.968;4.434;2.338.960;2.691;2.336.269
