Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;09/2010;NA;NA;1.054.467;0;1.054.467;6.447.805;0;0;263.964;0;263.964;797.696;7.509.465;NA;NA%;NA%;14,04%;NA%;21,50%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2010;NA;NA;671.888;361.624;1.033.512;6.936.356;0;0;112;0;112;315.384;7.251.851;NA;NA%;NA%;14,25%;NA%;10,96%
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2010;NA;NA;605.239;302.620;907.859;4.539.856;1.428.999;22.118;177.156;0;1.628.272;341.747;6.509.875;NA;NA%;NA%;13,95%;NA%;0,70%
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2010;NA;NA;1.109.145;1.672;1.110.817;6.121.970;0;0;0;18.516;18.516;360.345;6.500.832;NA;NA%;NA%;17,09%;NA%;1,82%
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;875.901;217.009;1.092.910;5.206.213;0;34.140;54.828;12.175;101.143;629.352;5.936.708;NA;NA%;NA%;18,41%;NA%;1,98%
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;09/2010;NA;NA;3.117.488;1.673.885;4.791.372;389.020;0;0;3.134;5.019.132;5.022.266;131.799;5.543.085;NA;NA%;NA%;86,44%;NA%;0,00%
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;1.073.786;492;1.074.278;4.293.278;63.251;0;458.389;0;521.640;511.725;5.326.643;NA;NA%;NA%;20,17%;NA%;46,99%
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;771.214;1.529;772.743;4.031.362;411.586;5.493;61.145;6.445;484.669;255.773;4.771.804;NA;NA%;NA%;16,19%;NA%;30,79%
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2010;NA;NA;744.266;3.639;747.905;3.890.827;0;538;24.630;28.794;53.961;584.316;4.529.104;NA;NA%;NA%;16,51%;NA%;19,51%
BRB;31976;b1;;C;1;BRASILIA;DF;09/2010;NA;NA;695.169;-1.644;693.526;3.554.378;0;1.071;85.633;19.001;105.705;559.697;4.219.780;NA;NA%;NA%;16,44%;NA%;18,55%
