Instituição financeira;Código;TCB;TD;TC;Segmento;Cidade;UF;Data;Exportações;;Importações;;Total Primário Comercial;;Transferências do Exterior;;Transferências para o Exterior;;Total Primário Financeiro;;Total Primário;;Interbancário Compra;;Interbancário Venda;;Total Interbancário;;Total;;
;;;;;;;;;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor Total;
BMG;30.290;b1;C;2;199;SAO PAULO;SP;06/2016;39;133.150;3;913;42;134.063;5;576;42;114.411;47;114.987;89;249.049;16;124.689;24;148.236;40;272.925;129;521.975
BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;997.185;b1;I;2;2;SAO PAULO;SP;06/2016;0;0;0;0;0;0;294;123.761;303;179.787;597;303.549;597;303.549;101;118.723;73;62.720;174;181.443;771;484.991
BANCO WOORI BANK DO BRASIL S.A.;15.357.060;b1;I;3;8;SAO PAULO;SP;06/2016;0;0;116;62.151;116;62.151;114;153.369;618;50.042;732;203.411;848;265.561;115;81.527;32;122.688;147;204.215;995;469.776
BANCO KDB DO BRASIL S.A.;7.656.500;b1;I;3;8;SAO PAULO;SP;06/2016;0;0;1;335;1;335;293;140.803;538;45.000;831;185.802;832;186.137;41;58.600;101;153.500;142;212.100;974;398.237
HAITONG;51.482;b2;C;3;198;SAO PAULO;SP;06/2016;1;5.000;1;7;2;5.007;124;25.003;173;49.683;297;74.686;299;79.693;55;158.423;51;139.128;106;297.551;405;377.244
BANCO DE LA PROVINCIA DE BUENOS AIRES;44.189.447;b1;I;3;28;SAO PAULO;SP;06/2016;78;11.240;1;306;79;11.546;10;26;18;101;28;127;107;11.672;106;174.655;120;187.785;226;362.440;333;374.112
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;8;SAO PAULO;SP;06/2016;31;102.289;0;0;31;102.289;30;76.998;46;1.970;76;78.968;107;181.257;3;1.648;45;177.750;48;179.398;155;360.655
BANESTES;30.159;b1;C;1;199;VITORIA;ES;06/2016;2.136;59.247;786;24.471;2.922;83.719;193;2.733;658;5.098;851;7.832;3.773;91.550;95;119.070;177;149.813;272;268.883;4.045;360.433
ADVANCED CORRETORA DE CÂMBIO LTDA;92.856.905;n2;I;2;21;SAO PAULO;SP;06/2016;450;11.314;3.930;79.041;4.380;90.355;3.433;38.706;9.211;71.713;12.644;110.420;17.024;200.774;1.970;125.765;523;25.196;2.493;150.961;19.517;351.735
TREVISO CORRETORA DE CÂMBIO S.A.;2.992.317;n2;I;2;21;SAO PAULO;SP;06/2016;28;380;468;6.317;496;6.698;1.093;10.759;3.723;50.217;4.816;60.976;5.312;67.674;6.088;163.598;1.011;118.022;7.099;281.620;12.411;349.294
COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;460.065;n2;I;2;16;RIO DE JANEIRO;RJ;06/2016;0;0;0;0;0;0;199;1.097;437;5.077;636;6.174;636;6.174;841;172.649;429;168.670;1.270;341.319;1.906;347.493
WESTERN UNION;51.767;b1;C;3;199;SAO PAULO;SP;06/2016;13;137;115;844;128;981;1.582;60.352;3.006;142.428;4.588;202.780;4.716;203.760;2.112;94.085;901;9.447;3.013;103.532;7.729;307.293
CAIXA GERAL;51.815;b1;C;3;199;SAO PAULO;SP;06/2016;11;18.192;30;10.832;41;29.024;35;20.837;264;14.591;299;35.428;340;64.453;45;82.046;51;143.678;96;225.723;436;290.176
